start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-07-01_15-03-32,2024-07-01_15-03-48,5,3,-88.37110089285716,-0.9919084821428328,-0.7960379464285552,67.49951219642857,0.007360000000000255,0.0008469238281350044,-0.0005253906250004547,0.0008581542968499889,-0.0030043249130358163,3804.6,31027.533333333336,0.0,12428.000000000002,2.8,0.0,4.866666666666666,0.0,14.842656246253375,64.55132325005667,0.0,18.95286551187217,0.44221663871405326,0.0,0.6879922480183431,0.0,
2024-07-01_15-03-48,2024-07-01_15-04-03,5,3,-87.07031964285716,-0.9919084821428328,-0.7960379464285552,67.49951219642857,0.007360000000000255,0.0008469238281350044,-0.0005253906250004547,0.0008581542968499889,-0.0030043249130358163,4062.3333333333335,31002.13333333333,0.0,12477.666666666668,6.133333333333334,0.0,12.466666666666667,0.0,17.7935693752296,27.946496500754034,0.0,34.94614904869104,0.44221663871405337,0.0,0.6018490028422597,0.0,
2024-07-01_15-04-04,2024-07-01_15-04-19,5,3,-85.74442678571427,-0.9919084821428328,-0.7960379464285552,67.49951219642857,0.007360000000000255,0.0008469238281350044,-0.0005253906250004547,0.0008581542968499889,-0.0030043249130358163,4520.4,30879.86666666666,0.0,12499.0,18.26666666666667,0.0,23.733333333333334,0.0,6.176478680355643,28.557466429795586,0.0,17.992282296090693,1.514375558880073,0.0,1.1025223605694152,0.0,
2024-07-01_15-04-20,2024-07-01_15-04-35,5,3,-84.41853392857143,-0.9919084821428328,-0.7960379464285552,67.49951219642857,0.007360000000000255,0.0008469238281350044,-0.0005253906250004547,0.0008581542968499889,-0.0030043249130358163,5122.133333333333,30820.0,0.0,12469.2,33.8,0.0,37.266666666666666,0.0,16.715129540495738,64.14696667289353,0.0,35.583329430132395,1.762573875520304,0.0,1.8178130939247974,0.0,
2024-07-01_15-04-36,2024-07-01_15-04-51,5,3,-83.09766339285716,-0.9919084821428328,-0.7960379464285552,67.49951219642857,0.007360000000000255,0.0008469238281350044,-0.0005253906250004547,0.0008581542968499889,-0.0030043249130358163,5846.800000000001,30660.466666666667,0.0,12473.533333333333,57.26666666666667,0.0,52.33333333333333,0.0,21.371476317746446,47.48889928768157,0.0,24.921120003367047,2.276449477195183,0.0,1.4181364924121762,0.0,
2024-07-01_15-04-51,2024-07-01_15-05-06,5,3,-81.78181517857143,-0.9919084821428328,-0.7960379464285552,67.49951219642857,0.007360000000000255,0.0008469238281350044,-0.0005253906250004547,0.0008581542968499889,-0.0030043249130358163,6790.533333333335,30418.6,0.0,12475.733333333334,87.26666666666668,0.0,72.13333333333333,0.0,18.23598396333777,74.02570124250401,0.0,31.343508986001293,2.7756881028754727,0.0,0.8981462390204978,0.0,
2024-07-01_15-05-07,2024-07-01_15-05-22,5,3,-80.46345580357143,-0.9919084821428328,-0.7960379464285552,67.49951219642857,0.007360000000000255,0.0008469238281350044,-0.0005253906250004547,0.0008581542968499889,-0.0030043249130358163,7838.0,30232.13333333334,0.0,12500.266666666666,117.4,0.0,94.0,0.0,33.14396207791435,38.56460668655746,0.0,21.793067195274972,2.9009576962712766,0.0,3.9454615277134146,0.0,
2024-07-01_15-05-23,2024-07-01_15-05-38,5,3,-79.12500714285716,-0.9919084821428328,-0.7960379464285552,67.49951219642857,0.007360000000000255,0.0008469238281350044,-0.0005253906250004547,0.0008581542968499889,-0.0030043249130358163,9049.0,30022.933333333338,0.0,12503.600000000002,156.13333333333335,0.0,117.13333333333335,0.0,12.98375052817085,42.1924690489246,0.0,10.427207999587822,3.6539172282785937,0.0,1.9905331502444832,0.0,
2024-07-01_15-05-39,2024-07-01_15-05-54,5,3,-77.80915892857143,-0.9919084821428328,-0.7960379464285552,67.49951219642857,0.007360000000000255,0.0008469238281350044,-0.0005253906250004547,0.0008581542968499889,-0.0030043249130358163,10337.066666666668,29762.06666666667,0.0,12470.266666666666,199.13333333333335,0.0,142.99999999999997,0.0,28.862008862093532,48.236731048260104,0.0,42.80542540898809,4.692310494604737,0.0,2.5429641497014184,0.0,
2024-07-01_15-05-54,2024-07-01_15-06-10,5,3,-76.49079955357143,-0.9919084821428328,-0.7960379464285552,67.49951219642857,0.007360000000000255,0.0008469238281350044,-0.0005253906250004547,0.0008581542968499889,-0.0030043249130358163,11869.666666666668,29516.4,0.0,12523.666666666668,243.8,0.0,177.93333333333334,0.0,25.450387467035263,45.233640382155826,0.0,17.069140445715266,2.5068794235950893,0.0,2.8429249413627176,0.0,
2024-07-01_15-06-10,2024-07-01_15-06-25,5,3,-75.15737321428571,-0.9919084821428328,-0.7960379464285552,67.49951219642857,0.007360000000000255,0.0008469238281350044,-0.0005253906250004547,0.0008581542968499889,-0.0030043249130358163,13424.533333333335,29215.266666666663,0.0,12469.866666666665,310.1333333333333,0.0,208.26666666666665,0.0,35.684668354288355,47.77812144579236,0.0,23.555277776139835,2.2866763848189944,0.0,2.5806975801127865,0.0,
2024-07-01_15-06-26,2024-07-01_15-06-41,5,3,-73.83399151785716,-0.9919084821428328,-0.7960379464285552,67.49951219642857,0.007360000000000255,0.0008469238281350044,-0.0005253906250004547,0.0008581542968499889,-0.0030043249130358163,14960.133333333335,28926.26666666667,0.0,12429.733333333334,346.3333333333333,0.0,238.8,0.0,45.44894571567823,28.938901153982634,0.0,22.618183442138324,3.260879227038831,0.0,3.5661993463318584,0.0,
2024-07-01_15-06-42,2024-07-01_15-06-57,5,3,-72.51563214285716,-0.9919084821428328,-0.7960379464285552,67.49951219642857,0.007360000000000255,0.0008469238281350044,-0.0005253906250004547,0.0008581542968499889,-0.0030043249130358163,16717.666666666664,28659.333333333336,0.0,12469.8,415.0666666666666,0.0,273.1333333333333,0.0,33.830623865236475,19.814697126683793,0.0,17.034800980476422,7.552335915316385,0.0,4.635131545538317,0.0,
2024-07-01_15-06-58,2024-07-01_15-07-13,5,3,-71.19727276785716,-0.9919084821428328,-0.7960379464285552,67.49951219642857,0.007360000000000255,0.0008469238281350044,-0.0005253906250004547,0.0008581542968499889,-0.0030043249130358163,18520.0,28382.2,0.0,12477.333333333332,478.1333333333334,0.0,307.2666666666667,0.0,36.17626600717938,26.582492149700098,0.0,29.906335263433736,3.015883876338012,0.0,3.8692520092533558,0.0,
2024-07-01_15-07-13,2024-07-01_15-07-29,5,3,-69.87137991071427,-0.9919084821428328,-0.7960379464285552,67.49951219642857,0.007360000000000255,0.0008469238281350044,-0.0005253906250004547,0.0008581542968499889,-0.0030043249130358163,20353.8,28007.13333333334,0.0,12391.999999999998,526.7333333333333,0.0,342.5333333333333,0.0,23.59910544443996,13.604982747345394,0.0,40.61403698230463,1.717232916318845,0.0,2.801983424489004,0.0,
2024-07-01_15-07-29,2024-07-01_15-07-44,5,3,-68.54297589285716,-0.9919084821428328,-0.7960379464285552,67.49951219642857,0.007360000000000255,0.0008469238281350044,-0.0005253906250004547,0.0008581542968499889,-0.0030043249130358163,22168.6,27582.4,0.0,12468.2,596.0,0.0,374.93333333333334,0.0,27.061329523058188,40.55070899503466,0.0,23.429705741026915,4.189935029992173,0.0,2.6170381901854043,0.0,
2024-07-01_15-07-45,2024-07-01_15-08-00,5,3,-67.22210535714288,-0.9919084821428328,-0.7960379464285552,67.49951219642857,0.007360000000000255,0.0008469238281350044,-0.0005253906250004547,0.0008581542968499889,-0.0030043249130358163,24016.133333333335,27307.26666666667,0.0,12420.133333333333,647.9333333333334,0.0,402.46666666666664,0.0,32.91885646724503,72.42148238686582,0.0,10.290556620297927,4.179845823844596,0.0,4.6002415395522736,0.0,
2024-07-01_15-08-01,2024-07-01_15-08-16,5,3,-65.89872366071427,-0.9919084821428328,-0.7960379464285552,67.49951219642857,0.007360000000000255,0.0008469238281350044,-0.0005253906250004547,0.0008581542968499889,-0.0030043249130358163,25876.0,26904.93333333333,0.0,12391.8,723.4,0.0,442.1333333333333,0.0,22.683082291042858,31.749260708803078,0.0,14.946051132136562,3.082927901272508,0.0,3.817503547258772,0.0,
2024-07-01_15-08-17,2024-07-01_15-08-32,5,3,-64.57031964285716,-0.9919084821428328,-0.7960379464285552,67.49951219642857,0.007360000000000255,0.0008469238281350044,-0.0005253906250004547,0.0008581542968499889,-0.0030043249130358163,27727.6,26709.533333333333,0.0,12387.666666666668,788.3333333333333,0.0,472.0,0.0,43.808218407052486,43.12367228229854,0.0,20.30298281315098,2.796823595120395,0.0,6.172519744804386,0.0,
2024-07-01_15-08-33,2024-07-01_15-08-48,5,3,-63.2469379464286,-0.9919084821428328,-0.7960379464285552,67.49951219642857,0.007360000000000255,0.0008469238281350044,-0.0005253906250004547,0.0008581542968499889,-0.0030043249130358163,29555.533333333333,26345.06666666667,0.0,12443.466666666667,842.6,0.0,513.2,0.0,47.68689547454308,55.092084529247714,0.0,41.226151355123534,5.687608362826051,0.0,5.859086011391953,0.0,
2024-07-01_15-08-48,2024-07-01_15-09-03,5,3,-61.92606741071427,-0.9919084821428328,-0.7960379464285552,67.49951219642857,0.007360000000000255,0.0008469238281350044,-0.0005253906250004547,0.0008581542968499889,-0.0030043249130358163,31275.6,26032.466666666667,0.0,12432.400000000001,898.2666666666668,0.0,538.2,0.0,70.66048715119678,22.68494361171445,0.0,29.22430495324056,14.881158855710424,0.0,5.097493937656461,0.0,
2024-07-01_15-09-04,2024-07-01_15-09-19,5,3,-60.60770803571427,-0.9919084821428328,-0.7960379464285552,67.49951219642857,0.007360000000000255,0.0008469238281350044,-0.0005253906250004547,0.0008581542968499889,-0.0030043249130358163,33029.4,25798.333333333332,0.0,12388.866666666667,959.4666666666666,0.0,565.6666666666667,0.0,26.874688628686926,67.7781511829425,0.0,33.61689390106659,8.892943519692704,0.0,6.487595000374871,0.0,
