start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-07-08_15-40-08,2024-07-08_15-40-24,5,3,-124.17020803571427,-25.176897321428555,-0.3138950892857224,67.50453451785714,89.99982651785714,0.0008469238281350044,-0.0007695312500004547,0.0008581542968499889,-0.0019624953270067635,40086.066666666666,26169.4,0.0,11246.533333333335,1366.6,0.0,578.8666666666667,0.0,80.6691046463539,42.52951916022569,0.0,13.993093534549992,8.890319329347937,0.0,3.991101212558868,0.0,HH
2024-07-08_15-40-31,2024-07-08_15-40-46,5,3,-124.17020803571427,-25.176897321428555,-0.3138950892857224,67.50453451785714,89.99982651785714,45.001957000732425,-0.0007695312500004547,0.0008581542968499889,-0.0019624953270067635,40020.933333333334,26984.666666666668,0.0,10934.933333333332,1401.4666666666667,0.0,615.8666666666667,0.0,24.985640320436264,33.03079371334185,0.0,15.777410011363536,7.672171936435086,0.0,4.353287391283867,0.0,HV
2024-07-08_15-40-51,2024-07-08_15-41-06,5,3,-124.17020803571427,-25.176897321428555,-0.3138950892857224,67.50453451785714,89.99982651785714,67.50198751831054,-0.0007695312500004547,0.0008581542968499889,-0.0019624953270067635,39900.2,28274.2,0.0,10442.6,1429.6666666666665,0.0,594.8666666666666,0.0,48.724007315582256,23.55574947509268,0.0,36.106386015649775,6.662498697102206,0.0,6.658828725834596,0.0,HD
2024-07-08_15-41-14,2024-07-08_15-41-29,5,3,-124.17020803571427,-25.176897321428555,-0.3138950892857224,67.50453451785714,89.99982651785714,22.498800338745117,-0.0007695312500004547,0.0008581542968499889,-0.0019624953270067635,40042.933333333334,25045.066666666666,0.0,11590.266666666666,1324.8666666666666,0.0,620.4666666666666,0.0,71.53479339920369,59.17942585429875,0.0,37.10202150826825,10.493701814792411,0.0,7.220803279414276,0.0,HA
2024-07-08_15-41-40,2024-07-08_15-41-55,5,3,-124.17020803571427,-25.176897321428555,-0.3138950892857224,67.50453451785714,89.99982651785714,0.0008469238281350044,45.001671875,0.0008581542968499889,-0.0019624953270067635,40023.13333333334,8447.600000000002,0.0,19220.13333333333,16.0,0.0,1232.0666666666666,0.0,51.7777944682859,26.132440460937307,0.0,47.865622087023944,0.9368979548370133,0.0,6.341573586701933,0.0,HR
2024-07-08_15-42-06,2024-07-08_15-42-22,5,3,-124.17020803571427,-25.176897321428555,-0.3138950892857224,67.50453451785714,89.99982651785714,0.0008469238281350044,135.0026484375,0.0008581542968499889,-0.0019624953270067635,39925.066666666666,42712.2,0.0,3701.533333333333,2606.8666666666663,0.0,17.266666666666666,0.0,47.79927939949658,52.1826493088361,0.0,9.213275446031354,11.989625144728764,0.0,0.33993463423951903,0.0,HL
2024-07-08_15-42-43,2024-07-08_15-42-58,5,3,-124.17020803571427,-25.176897321428555,-0.3138950892857224,67.50453451785714,89.99982651785714,0.0008469238281350044,-0.0012578125000004547,45.0024755859375,-0.0019624953270067635,7886.6,26068.6,0.0,11234.133333333333,171.53333333333336,0.0,75.26666666666667,0.0,48.22417558767716,27.81134860288328,0.0,19.942305673004494,2.517935662402834,0.0,3.099103813111856,0.0,VH
2024-07-08_15-43-05,2024-07-08_15-43-20,5,3,-124.17020803571427,-25.176897321428555,-0.3138950892857224,67.50453451785714,89.99982651785714,45.001957000732425,-0.0007695312500004547,44.99987396240235,-0.0019624953270067635,7910.866666666667,26987.333333333332,0.0,10870.2,143.4,0.0,98.8,0.0,36.97756076325202,60.165512454303,0.0,31.80244574801669,2.357965224510319,0.0,3.8938698260499436,0.0,VV
2024-07-08_15-43-24,2024-07-08_15-43-40,5,3,-124.17020803571427,-25.176897321428555,-0.3138950892857224,67.50453451785714,89.99982651785714,67.50198751831054,-0.0007695312500004547,44.99987396240235,-0.0019624953270067635,7898.733333333333,28210.666666666664,0.0,10398.533333333333,135.2,0.0,90.6,0.0,11.641592101884795,53.97118572802382,0.0,22.922235686967653,2.9393876913398125,0.0,2.7475241379993176,0.0,VD
2024-07-08_15-43-47,2024-07-08_15-44-02,5,3,-124.17020803571427,-25.176897321428555,-0.3138950892857224,67.50453451785714,89.99982651785714,22.498800338745117,-0.0007695312500004547,44.99987396240235,-0.0019624953270067635,7906.7333333333345,24901.8,0.0,11591.199999999999,176.79999999999998,0.0,74.8,0.0,15.186763242303376,69.69469930425922,0.0,26.474641955400834,4.349457181968547,0.0,2.7174334296251743,0.0,VA
