start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-07-02_15-05-08,2024-07-02_15-05-23,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,0.0008469238281350044,0.00020703124999954525,0.0008581542968499889,-0.0019624953270067635,45496.2,27003.86666666667,0.0,11559.066666666668,1534.9333333333332,0.0,659.0,0.0,62.74999778663086,47.18975877596036,0.0,19.385103100634414,9.092365539897266,0.0,2.973961069759398,0.0,HH
2024-07-02_15-05-30,2024-07-02_15-05-45,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,45.001957000732425,0.00020703124999954525,0.0008581542968499889,-0.0019624953270067635,45573.46666666666,28102.0,0.0,11084.6,1504.9333333333334,0.0,703.9333333333332,0.0,83.17321951472361,42.003835803676516,0.0,28.45413463414019,5.327496806401902,0.0,13.2264045672956,0.0,HV
2024-07-02_15-05-50,2024-07-02_15-06-05,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,67.50198751831054,0.00020703124999954525,0.0008581542968499889,-0.0019624953270067635,45599.799999999996,29920.2,0.0,10449.066666666668,1561.0666666666666,0.0,688.4,0.0,64.00760371497567,72.65562607258961,0.0,20.666774193268683,6.304671989000591,0.0,8.911540582612831,0.0,HD
2024-07-02_15-06-13,2024-07-02_15-06-28,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,22.498800338745117,0.00020703124999954525,0.0008581542968499889,-0.0019624953270067635,45586.2,25439.733333333334,0.0,12179.066666666666,1453.2666666666669,0.0,704.1333333333333,0.0,69.47338419215737,67.88482075463435,0.0,32.25788447978428,6.53656382716994,0.0,4.735914789023216,0.0,HA
2024-07-02_15-06-39,2024-07-02_15-06-55,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,0.0008469238281350044,45.0026484375,0.0008581542968499889,-0.0019624953270067635,45484.66666666667,4003.333333333333,0.0,22207.86666666667,17.266666666666666,0.0,1405.8,0.0,95.6853640265269,16.630961754777996,0.0,28.61033224398337,0.9910712498212335,0.0,17.802496703802237,0.0,HR
2024-07-02_15-07-06,2024-07-02_15-07-21,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,0.0008469238281350044,135.0026484375,0.0008581542968499889,-0.0019624953270067635,45501.66666666667,48802.8,0.0,1561.4,2880.0,0.0,21.266666666666666,0.0,107.68823313415258,56.070748959585096,0.0,9.896913098986444,20.910656507043324,0.0,0.7702813338860893,0.0,HL
2024-07-02_15-07-43,2024-07-02_15-07-58,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,0.0008469238281350044,-0.00028125000000045475,45.0024755859375,-0.0019624953270067635,3375.8666666666672,26934.8,0.0,11526.066666666668,7.466666666666667,0.0,4.866666666666666,0.0,11.991015154875111,63.8209822689823,0.0,13.620409522314656,0.30912061651652345,0.0,0.7717224601860151,0.0,VH
2024-07-02_15-08-05,2024-07-02_15-08-20,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,45.001957000732425,0.00020703124999954525,44.99987396240235,-0.0019624953270067635,3351.466666666667,28027.86666666666,0.0,11126.066666666668,7.933333333333333,0.0,4.0,0.0,8.15311801296495,44.839664980411705,0.0,21.739211883905295,0.43969686527576396,0.0,0.47140452079103157,0.0,VV
2024-07-02_15-08-25,2024-07-02_15-08-40,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,67.50198751831054,0.00020703124999954525,44.99987396240235,-0.0019624953270067635,3345.1333333333328,29762.4,0.0,10428.066666666666,6.9333333333333345,0.0,5.0,0.0,18.44348725762628,67.02689344169598,0.0,19.166057961348507,0.9966610925150703,0.0,0.45946829173634074,0.0,VD
2024-07-02_15-08-48,2024-07-02_15-09-03,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,22.498800338745117,0.00020703124999954525,44.99987396240235,-0.0019624953270067635,3329.4,25406.73333333333,0.0,12147.333333333332,6.4,0.0,3.9333333333333327,0.0,9.902524930541702,30.38537659979043,0.0,25.996580971778307,0.6699917080747261,0.0,0.7102425250887505,0.0,VA
2024-07-02_15-09-14,2024-07-02_15-09-29,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,0.0008469238281350044,45.0026484375,44.99987396240235,-0.0019624953270067635,3345.666666666667,3989.8,0.0,22068.8,1.2,0.0,7.4,0.0,14.063348739819338,16.201714586905737,0.0,31.764515492046108,0.24944382578492943,0.0,0.5206833117271104,0.0,VR
2024-07-02_15-09-40,2024-07-02_15-09-56,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,0.0008469238281350044,135.0026484375,44.99987396240235,-0.0019624953270067635,3357.5333333333338,48675.86666666666,0.0,1556.3333333333335,12.333333333333332,0.0,0.6,0.0,11.619715047185002,60.71423043881649,0.0,2.4608038433722377,1.206464071390257,0.0,0.19436506316151,0.0,VL
2024-07-02_15-10-15,2024-07-02_15-10-31,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,0.0008469238281350044,-0.00028125000000045475,67.50250610351563,-0.0019624953270067635,23244.06666666667,26920.26666666667,0.0,11467.733333333334,725.8666666666667,0.0,305.2,0.0,27.017155043909895,28.77969963552646,0.0,33.83364531875865,9.071689785015549,0.0,5.208539995899896,0.0,DH
2024-07-02_15-10-38,2024-07-02_15-10-53,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,45.001957000732425,0.00020703124999954525,67.49990447998047,-0.0019624953270067635,23211.866666666665,27968.666666666668,0.0,11095.666666666668,713.6000000000001,0.0,329.40000000000003,0.0,36.60686031637011,38.99900283625495,0.0,26.679996668332212,8.582540416450136,0.0,4.8710026346396775,0.0,DV
2024-07-02_15-10-58,2024-07-02_15-11-13,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,67.50198751831054,0.00020703124999954525,67.49990447998047,-0.0019624953270067635,23204.2,29810.533333333336,0.0,10355.666666666666,752.3333333333334,0.0,308.4666666666667,0.0,20.824291371163064,26.35686712119719,0.0,24.68760372692715,4.70106370941726,0.0,1.9107880863955378,0.0,DD
2024-07-02_15-11-21,2024-07-02_15-11-36,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,22.498800338745117,0.00020703124999954525,67.49990447998047,-0.0019624953270067635,23151.733333333334,25375.4,0.0,12037.866666666667,672.4666666666667,0.0,327.53333333333336,0.0,15.927055946128585,27.355153891807266,0.0,30.32849778307169,4.190730511763102,0.0,4.235563716909472,0.0,DA
2024-07-02_15-11-47,2024-07-02_15-12-02,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,0.0008469238281350044,45.0026484375,67.49990447998047,-0.0019624953270067635,23212.2,3986.4,0.0,22122.466666666667,9.933333333333334,0.0,650.2666666666667,0.0,36.59942318914021,23.011205000076696,0.0,34.138378533387815,1.2174654911833116,0.0,4.311998763141446,0.0,DR
2024-07-02_15-12-14,2024-07-02_15-12-29,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,0.0008469238281350044,135.0026484375,67.49990447998047,-0.0019624953270067635,23168.666666666668,48831.066666666666,0.0,1560.6666666666665,1365.2666666666667,0.0,9.066666666666666,0.0,43.14973928078829,27.48826012035747,0.0,12.676750372236578,13.201599229722957,0.0,0.6446359868604572,0.0,DL
2024-07-02_15-12-51,2024-07-02_15-13-07,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,0.0008469238281350044,0.00020703124999954525,22.499841537475586,-0.0019624953270067635,25597.133333333335,26985.26666666667,0.0,11482.2,800.5999999999999,0.0,354.8,0.0,59.15033577438253,41.81791216426013,0.0,18.838671809752427,11.56834762041091,0.0,4.549236810230428,0.0,AH
2024-07-02_15-13-14,2024-07-02_15-13-29,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,45.001957000732425,0.00020703124999954525,22.499841537475586,-0.0019624953270067635,25453.73333333333,27993.2,0.0,11044.266666666666,790.9333333333333,0.0,381.79999999999995,0.0,34.87922017476882,35.46275041034821,0.0,49.594175285231145,3.168245220587851,0.0,2.9299222591127623,0.0,AV
2024-07-02_15-13-34,2024-07-02_15-13-49,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,67.50198751831054,0.00020703124999954525,22.499841537475586,-0.0019624953270067635,25483.333333333332,29837.13333333333,0.0,10356.133333333333,822.7333333333332,0.0,377.8666666666667,0.0,16.809058404457,38.290497805881195,0.0,27.97193037473259,6.481940724470994,0.0,4.62673390921357,0.0,AD
2024-07-02_15-13-56,2024-07-02_15-14-12,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,22.498800338745117,0.00020703124999954525,22.499841537475586,-0.0019624953270067635,25507.533333333333,25386.533333333333,0.0,12096.133333333333,770.8666666666667,0.0,380.8,0.0,26.517834669436557,15.731991468201235,0.0,34.81516272481803,5.34852004452322,0.0,2.3584363935078336,0.0,AA
2024-07-02_15-14-22,2024-07-02_15-14-38,5,3,-44.938065178571435,-1.001953125,-0.3063616071428328,67.49951219642857,89.99731535714287,0.0008469238281350044,45.0026484375,22.499841537475586,-0.0019624953270067635,25552.866666666665,3981.7333333333336,0.0,22145.600000000002,6.266666666666667,0.0,766.5333333333333,0.0,9.05882013411395,13.194022215466438,0.0,40.551531002746145,0.8844332774281065,0.0,6.79999999999999,0.0,AR
