start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-06-24_15-43-29,2024-06-24_15-43-44,5,3,-89.89788660714288,-0.9969308035714448,-0.3063616071428328,0.002023357142856952,0.7883309821428579,45.001957000732425,-0.00019732666015670475,45.00195678710938,-0.0019624953270067635,51530.600000000006,55758.666666666664,0.0,1563.8666666666666,3264.866666666667,0.0,18.6,0.0,80.37553524964304,49.983441702673225,0.0,11.762747222576122,14.037885247508676,0.0,0.38586123009300743,0.0,
2024-06-24_15-43-45,2024-06-24_15-44-00,5,3,-88.61468348214288,-0.9969308035714448,-0.3063616071428328,0.002023357142856952,0.7883309821428579,45.001957000732425,-0.00019732666015670475,45.00195678710938,-0.0019624953270067635,51531.666666666664,55686.4,0.0,1589.9333333333332,3262.6666666666665,0.0,18.466666666666665,0.0,57.790810495941784,72.30140616428754,0.0,4.471390536883741,25.01888175847283,0.0,0.9345230512584122,0.0,
2024-06-24_15-44-01,2024-06-24_15-44-16,5,3,-87.28627946428571,-0.9969308035714448,-0.3063616071428328,0.002023357142856952,0.7883309821428579,45.001957000732425,-0.00019732666015670475,45.00195678710938,-0.0019624953270067635,51134.66666666667,55279.0,0.0,1703.9333333333332,3243.333333333333,0.0,17.0,0.0,50.47265486269602,94.43857498101265,0.0,9.069117315863158,15.494801995794832,0.0,0.9888264649460885,0.0,
2024-06-24_15-44-17,2024-06-24_15-44-32,5,3,-85.97043124999999,-0.9969308035714448,-0.3063616071428328,0.002023357142856952,0.7883309821428579,45.001957000732425,-0.00019732666015670475,45.00195678710938,-0.0019624953270067635,50674.53333333334,54697.6,0.0,1922.2,3197.666666666667,0.0,17.133333333333333,0.0,70.95801575579729,34.59951830107862,0.0,9.80113372127034,16.272335077944035,0.0,1.6852299546352716,0.0,
2024-06-24_15-44-33,2024-06-24_15-44-48,5,3,-84.64704955357143,-0.9969308035714448,-0.3063616071428328,0.002023357142856952,0.7883309821428579,45.001957000732425,-0.00019732666015670475,45.00195678710938,-0.0019624953270067635,49898.66666666667,53826.6,0.0,2178.2,3143.5333333333333,0.0,17.866666666666667,0.0,67.15918072427348,43.525139606643755,0.0,15.938283749792184,11.8249265912685,0.0,0.8137703743822469,0.0,
2024-06-24_15-44-48,2024-06-24_15-45-04,5,3,-83.31864553571427,-0.9969308035714448,-0.3063616071428328,0.002023357142856952,0.7883309821428579,45.001957000732425,-0.00019732666015670475,45.00195678710938,-0.0019624953270067635,49120.0,52949.533333333326,0.0,2578.4,3091.9333333333334,0.0,21.133333333333333,0.0,49.831270860329305,65.68549645427422,0.0,18.798167759415048,15.947622602340035,0.0,0.6018490028422598,0.0,
2024-06-24_15-45-04,2024-06-24_15-45-20,5,3,-82.00781964285716,-0.9969308035714448,-0.3063616071428328,0.002023357142856952,0.7883309821428579,45.001957000732425,-0.00019732666015670475,45.00195678710938,-0.0019624953270067635,47975.26666666667,51950.066666666666,0.0,3013.8,3023.8,0.0,18.666666666666668,0.0,36.45383686557929,42.96295561941219,0.0,13.08162409217171,13.716008489676936,0.0,0.881917103688197,0.0,
2024-06-24_15-45-20,2024-06-24_15-45-35,5,3,-80.68694910714288,-0.9969308035714448,-0.3063616071428328,0.002023357142856952,0.7883309821428579,45.001957000732425,-0.00019732666015670475,45.00195678710938,-0.0019624953270067635,46708.0,50445.8,0.0,3560.2,2917.6,0.0,18.733333333333334,0.0,55.73678218994159,27.303154070953074,0.0,14.670681268737626,16.420989278630266,0.0,1.2970050972229143,0.0,
2024-06-24_15-45-36,2024-06-24_15-45-51,5,3,-79.35352276785716,-0.9969308035714448,-0.3063616071428328,0.002023357142856952,0.7883309821428579,45.001957000732425,-0.00019732666015670475,45.00195678710938,-0.0019624953270067635,45214.13333333334,48903.333333333336,0.0,4172.8,2840.266666666667,0.0,17.333333333333332,0.0,76.22755407331454,35.98718907858442,0.0,21.235871119928717,21.604371985523837,0.0,1.2516655570345723,0.0,
2024-06-24_15-45-52,2024-06-24_15-46-07,5,3,-78.03767455357143,-0.9969308035714448,-0.3063616071428328,0.002023357142856952,0.7883309821428579,45.001957000732425,-0.00019732666015670475,45.00195678710938,-0.0019624953270067635,43650.066666666666,47161.0,0.0,4778.133333333333,2739.4666666666667,0.0,17.066666666666666,0.0,30.356108665857313,86.24126364771958,0.0,11.512601791080952,12.39336740178211,0.0,0.7630348761506397,0.0,
