start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-05-22_14-32-39,2025-05-22_14-32-54,5,3,-66.04561383928569,-21.292131696428555,0.9955357142857153,67.49748883928571,44.994977678571416,0.0012214355468813665,0.0019921874999937472,0.001376953124974989,-0.0019624953270067635,27173.06666666667,29106.6,0.0,521.3333333333333,878.1333333333334,0.0,0.13333333333333333,0.0,31.715821498635734,20.71054481820008,0.0,3.963724398985263,7.138004700972901,0.0,0.13333333333333333,0.0,HH
2025-05-22_14-33-01,2025-05-22_14-33-16,5,3,-66.04561383928569,-21.292131696428555,0.9955357142857153,67.49748883928571,44.994977678571416,45.00233151245117,3.9062499993747224e-05,0.0008581542968499889,-0.0019624953270067635,27142.733333333337,28967.666666666664,0.0,508.0,623.2666666666667,0.0,0.13333333333333333,0.0,47.62427018980046,26.02712260529607,0.0,8.311304216413799,4.183831311662132,0.0,0.0816496580927726,0.0,HV
2025-05-22_14-33-21,2025-05-22_14-33-37,5,3,-66.04561383928569,-21.292131696428555,0.9955357142857153,67.49748883928571,44.994977678571416,67.50183941650391,3.9062499993747224e-05,0.0008581542968499889,-0.0019624953270067635,27133.8,29191.93333333333,0.0,516.4,1462.7333333333333,0.0,0.06666666666666667,0.0,41.88590322398307,40.754877008770606,0.0,7.568501980063303,6.917289128617438,0.0,0.06666666666666667,0.0,HD
2025-05-22_14-33-44,2025-05-22_14-33-59,5,3,-66.04561383928569,-21.292131696428555,0.9955357142857153,67.49748883928571,44.994977678571416,22.49969364929199,3.9062499993747224e-05,0.0008581542968499889,-0.0019624953270067635,27160.666666666668,28788.533333333336,0.0,505.4,24.466666666666665,0.0,0.06666666666666667,0.0,27.355681920459386,71.39184516144371,0.0,5.33479146733965,0.6018490028422598,0.0,0.06666666666666667,0.0,HA
2025-05-22_14-34-10,2025-05-22_14-34-25,5,3,-66.04561383928569,-21.292131696428555,0.9955357142857153,67.49748883928571,44.994977678571416,0.0012214355468813665,45.001992187499994,0.0008581542968499889,-0.0019624953270067635,27054.13333333334,28921.73333333333,0.0,508.6666666666667,705.2666666666667,0.0,0.2,0.0,47.87513852605444,46.9970921086257,0.0,9.218339209303263,5.945493157753087,0.0,0.0816496580927726,0.0,HR
2025-05-22_14-34-36,2025-05-22_14-34-51,5,3,-66.04561383928569,-21.292131696428555,0.9955357142857153,67.49748883928571,44.994977678571416,0.0012214355468813665,135.00248046874998,0.0008581542968499889,-0.0019624953270067635,27121.333333333332,29048.86666666667,0.0,523.4,806.2666666666667,0.0,0.2,0.0,56.15405397456003,35.54740184286046,0.0,6.529760928072163,4.706260605713296,0.0,0.1333333333333333,0.0,HL
2025-05-22_14-35-13,2025-05-22_14-35-28,5,3,-66.04561383928569,-21.292131696428555,0.9955357142857153,67.49748883928571,44.994977678571416,0.0012214355468813665,3.9062499993747224e-05,45.0024755859375,-0.0019624953270067635,26234.333333333332,29093.06666666667,0.0,519.9333333333334,694.7333333333332,0.0,0.06666666666666667,0.0,38.10088946176704,30.45422794949824,0.0,3.683898900772265,6.720945700651883,0.0,0.06666666666666667,0.0,VH
2025-05-22_14-35-35,2025-05-22_14-35-51,5,3,-66.04561383928569,-21.292131696428555,0.9955357142857153,67.49748883928571,44.994977678571416,45.00233151245117,3.9062499993747224e-05,44.99987396240235,-0.0019624953270067635,26235.8,28931.666666666668,0.0,512.1333333333333,809.7333333333333,0.0,0.13333333333333333,0.0,21.85345129111966,19.75432442108147,0.0,8.649727034870981,8.749222187651252,0.0,0.0816496580927726,0.0,VV
2025-05-22_14-35-55,2025-05-22_14-36-10,5,3,-66.04561383928569,-21.292131696428555,0.9955357142857153,67.49748883928571,44.994977678571416,67.50183941650391,3.9062499993747224e-05,44.99987396240235,-0.0019624953270067635,26236.13333333333,29269.8,0.0,505.4666666666666,16.799999999999997,0.0,0.0,0.0,48.24953655505677,29.92000445632755,0.0,5.405347146833192,0.7039570693980957,0.0,0.0,0.0,VD
2025-05-22_14-36-18,2025-05-22_14-36-33,5,3,-66.04561383928569,-21.292131696428555,0.9955357142857153,67.49748883928571,44.994977678571416,22.49969364929199,3.9062499993747224e-05,44.99987396240235,-0.0019624953270067635,26240.4,28762.0,0.0,518.4000000000001,1482.7333333333331,0.0,0.2,0.0,27.56293807915885,39.21833471448997,0.0,5.403085538221043,13.445941147176484,0.0,0.0816496580927726,0.0,VA
2025-05-22_14-36-44,2025-05-22_14-36-59,5,3,-66.04561383928569,-21.292131696428555,0.9955357142857153,67.49748883928571,44.994977678571416,0.0007026367187563665,45.001992187499994,44.99987396240235,-0.0019624953270067635,26187.73333333333,29003.86666666666,0.0,509.9333333333333,871.5333333333332,0.0,0.13333333333333333,0.0,43.61350453446506,49.71167982588311,0.0,3.7124415446202272,12.863211971440958,0.0,0.0816496580927726,0.0,VR
2025-05-22_14-37-10,2025-05-22_14-37-25,5,3,-66.04561383928569,-21.292131696428555,0.9955357142857153,67.49748883928571,44.994977678571416,0.0012214355468813665,135.00248046874998,44.99987396240235,-0.0019624953270067635,26342.13333333333,29094.066666666662,0.0,520.4,672.0666666666667,0.0,0.06666666666666667,0.0,20.09272947555306,44.84385254537254,0.0,6.610933704435736,5.428730156409605,0.0,0.06666666666666667,0.0,VL
