0,1,2,3,4
"['phi plus, phi minus', 'psi plus, psi minus']","[(29.999999999999996, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.01874511347103451, [1.0864549306394842]]","['Wp1', -0.07759382672648014, [2.3126453504531526]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(29.999999999999996, 72.01145915590261)]","[0.4, 0.6]","['W1', 0.04074793770950266, [1.110586851968864]]","['Wp1', -0.09397869960301097, [1.1282781581560404]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(29.999999999999996, 90.0)]","[0.4, 0.6]","['W4', 0.04999999999999993, [1.4391851604902286]]","['Wp1', -0.09999999999999996, [1.086485090970345]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 18.045836623610466)]","[0.1, 0.9]","['W2', 0.022135950725420666, [0.7846013919753059]]","['Wp1', -0.09728356906626892, [1.2986672117836255]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 36.03437746770785)]","[0.2, 0.8]","['W1', 0.01913358223783224, [2.8548474533720465]]","['Wp1', -0.148815870021815, [1.0336545801283827]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 36.03437746770785)]","[0.3, 0.7]","['W2', 0.06696753783244751, [0.7833644410847347]]","['Wp1', -0.08896908750536246, [2.6040582449743024]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 36.03437746770785)]","[0.4, 0.6]","['W1', 0.03826716447566449, [1.7877923512213294]]","['Wp1', -0.0393806850846007, [0.9593603370811613]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 54.022918311805235)]","[0.1, 0.9]","['W1', 0.020626920075976902, [2.6178665098365066]]","['Wp1', -0.31534610174756117, [0.8841885938485866]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 54.022918311805235)]","[0.2, 0.8]","['W1', 0.04125384015196838, [1.0041168078636686]]","['Wp1', -0.22898834408927243, [2.2612476396955827]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 54.022918311805235)]","[0.3, 0.7]","['W1', 0.06188076022792005, [2.396752292060191]]","['Wp1', -0.14662920798712586, [2.67121926380612]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.08250768030389828, [1.0245410231008851]]","['Wp1', -0.06971177859992467, [3.113068921592131]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 72.01145915590261)]","[0.1, 0.9]","['W1', 0.04999999999999996, [0.6786404249493172]]","['Wp1', -0.37828168811522084, [1.3340332822239942]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 72.01145915590261)]","[0.2, 0.8]","['W1', 0.09999999999999995, [0.22557670581309616]]","['Wp1', -0.2816987074658698, [1.2834156932019274]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 72.01145915590261)]","[0.3, 0.7]","['W1', 0.10367598346611057, [2.911595313425504]]","['Wp1', -0.18609909578487677, [1.7258765831825733]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 72.01145915590261)]","[0.4, 0.6]","['W1', 0.13823464465928306, [1.164674325356559]]","['Wp1', -0.09194400335287894, [1.649070931072041]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 90.0)]","[0.1, 0.9]","['W3', 0.04999999999999996, [0.6670555184399767]]","['Wp1', -0.3999999999999999, [0.3298289702626246]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 90.0)]","[0.2, 0.8]","['W1', 0.09999999999999994, [0.42436716099812954]]","['Wp1', -0.29999999999999993, [1.8914977431733606]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 90.0)]","[0.3, 0.7]","['W3', 0.1499999999999999, [0.7099721574613546]]","['Wp1', -0.19999999999999996, [2.079461260781713]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 90.0)]","[0.4, 0.6]","['W3', 0.1999999999999999, [2.8319683763311745]]","['Wp1', -0.09999999999999999, [0.7520273951722298]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(59.99999999999999, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.01874511347089404, [1.7197631230000743]]","['Wp1', -0.07759382672648017, [2.696824264626415]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(59.99999999999999, 72.01145915590261)]","[0.4, 0.6]","['W1', 0.050000000000000044, [1.0039186514662983]]","['Wp1', -0.09397869960301383, [1.2899523617147284]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(59.99999999999999, 90.0)]","[0.4, 0.6]","['W1', 0.05000000000000002, [0.3597315957521365]]","['Wp1', -0.09999999999999998, [0.2380853883373085]]"
"['phi plus, phi minus', 'phi plus, psi minus']","[(59.99999999999999, 0.057295779513082325)]","[0.5, 0.5]","['W1', 0.026089100896953293, [1.887040252980902]]","['Wp3', -0.09150620998209663, [0.9422958578412094]]"
"['phi plus, phi minus', 'phi plus, psi minus']","[(59.99999999999999, 18.045836623610466)]","[0.5, 0.5]","['W1', 0.034052483226009456, [2.815359268948595]]","['Wp3', -0.07768030285461526, [2.3614246423110368]]"
"['phi plus, phi minus', 'phi plus, psi minus']","[(59.99999999999999, 36.03437746770785)]","[0.5, 0.5]","['W1', 0.05596621639124362, [2.3914513945851334]]","['Wp3', -0.03827906343922694, [3.034717697681463]]"
"['phi plus, phi minus', 'phi plus, psi minus']","[(59.99999999999999, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.02806208494708827, [1.7334572156933232]]","['Wp3', -0.047278669673755595, [2.6020759940572336]]"
"['phi plus, phi minus', 'phi plus, psi minus']","[(59.99999999999999, 54.022918311805235)]","[0.5, 0.5]","['W6', 0.05587933482314037, [2.93190893805495]]","['Wp1', -0.03844005665676775, [1.3369677789461225]]"
"['phi plus, phi minus', 'phi plus, psi minus']","[(59.99999999999999, 72.01145915590261)]","[0.4, 0.6]","['W1', 0.05000000000000006, [0.5619342901774903]]","['Wp1', -0.018713738811603306, [1.2353720687212646]]"
"['phi plus, phi minus', 'phi plus, psi minus']","[(59.99999999999999, 72.01145915590261)]","[0.5, 0.5]","['W6', 0.034002971693862995, [2.1891528970186784]]","['Wp1', -0.07776696430623223, [2.1625665890489167]]"
"['phi plus, phi minus', 'phi plus, psi minus']","[(59.99999999999999, 90.0)]","[0.4, 0.6]","['W1', 0.050000000000000044, [0.4978949931872138]]","['Wp1', -0.03278216033779041, [1.1751070163282045]]"
"['phi plus, phi minus', 'phi plus, psi minus']","[(59.99999999999999, 90.0)]","[0.5, 0.5]","['W6', 0.026089019065261503, [1.324988843090869]]","['Wp1', -0.09150635094584186, [2.9820590530661293]]"
"['phi plus, phi minus', 'phi minus, psi plus']","[(59.99999999999999, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.028062084947104923, [1.5061307649962714]]","['Wp3', -0.11132960472352976, [2.172120840558298]]"
"['phi plus, phi minus', 'phi minus, psi plus']","[(59.99999999999999, 72.01145915590261)]","[0.4, 0.6]","['W1', 0.043729121280313754, [2.9922844792387657]]","['Wp1', -0.03468193600630004, [3.1176442771831128]]"
"['phi plus, phi minus', 'phi minus, psi plus']","[(59.99999999999999, 90.0)]","[0.4, 0.6]","['W3', 0.04999999999999995, [0.6938456212057383]]","['Wp1', -0.04383363185971492, [1.8567760189048461]]"
"['phi plus, phi minus', 'phi plus, i psi plus']","[(59.99999999999999, 0.057295779513082325)]","[0.5, 0.5]","['W1', 0.026089100896953654, [2.953347882925852]]","['Wp2', -0.09150620998214398, [2.204132186239995]]"
