0,1,2,3,4
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 54.022918311805235)]","[0.1, 0.9]","['W1', 0.020626920076001545, [2.0686218545643134]]","['Wp1', -0.31534610174756117, [0.385031770002072]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 72.01145915590261)]","[0.1, 0.9]","['W1', 0.03455866135886221, [2.1940841237516846]]","['Wp1', -0.37828168811522106, [1.8469236309897967]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 90.0)]","[0.1, 0.9]","['W3', 0.04999999999999996, [2.5674447484850873]]","['Wp1', -0.3999999999999999, [0.7472714697670908]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 36.03437746770785)]","[0.2, 0.8]","['W2', 0.07653432895132896, [0.30951610932695056]]","['Wp1', -0.14881587002182622, [2.843705500824518]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 54.022918311805235)]","[0.2, 0.8]","['W1', 0.04125384015194669, [2.5530654491499867]]","['Wp1', -0.22898834408927676, [0.9331465415879888]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 72.01145915590261)]","[0.2, 0.8]","['W1', 0.06911732231073965, [2.8746399537152416]]","['Wp1', -0.28169870746587244, [2.391627589911243]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 90.0)]","[0.2, 0.8]","['W3', 0.09999999999999995, [0.706148620311402]]","['Wp1', -0.29999999999999993, [0.6170617303675626]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 36.03437746770785)]","[0.3, 0.7]","['W2', 0.06696753783241283, [0.1854541475871662]]","['Wp1', -0.08896908750536237, [0.917262851894232]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 54.022918311805235)]","[0.3, 0.7]","['W1', 0.061880760227920065, [1.0505670728929803]]","['Wp1', -0.14662920798712598, [2.697581402800677]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 72.01145915590261)]","[0.3, 0.7]","['W1', 0.10367598346612197, [0.9985045796802164]]","['Wp1', -0.18609909578487663, [0.6560521069368954]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 90.0)]","[0.3, 0.7]","['W1', 0.1499999999999999, [2.9790893244018357]]","['Wp1', -0.19999999999999996, [0.17932701787043018]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(29.999999999999996, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.018745113476359945, [0.7740261599349135]]","['Wp1', -0.0775938267264801, [3.095529571361863]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(29.999999999999996, 72.01145915590261)]","[0.4, 0.6]","['W1', 0.040747937709502566, [2.4422019887204787]]","['Wp1', -0.09397869960300768, [0.7528040217600306]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(29.999999999999996, 90.0)]","[0.4, 0.6]","['W4', 0.04999999999999993, [0.4586524593838696]]","['Wp1', -0.09999999999999994, [1.3184435843105757]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 36.03437746770785)]","[0.4, 0.6]","['W1', 0.0382671644756645, [1.490262589466019]]","['Wp1', -0.0393806850846007, [1.6077786462997243]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.08250768030389337, [1.5469961563465329]]","['Wp1', -0.06971177859992464, [0.3656422478869711]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 72.01145915590261)]","[0.4, 0.6]","['W1', 0.1382346446214768, [2.9712788569906845]]","['Wp1', -0.091944003352879, [2.619160867099903]]"
