0,1,2,3,4
"['phi plus, phi minus', 'psi plus, psi minus']","[(14.999999999999998, 36.03437746770785)]","[0.5, 0.5]","['W1', 0.011059050437909418, [1.3790437741241435]]","['Wp1', 1.6806001035263307e-14, [2.3143431777668835]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(14.999999999999998, 54.022918311805235)]","[0.5, 0.5]","['W2', 0.021379437929578735, [3.030706423422862]]","['Wp1', 3.191891195797325e-16, [1.290500309798904]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(14.999999999999998, 72.01145915590261)]","[0.5, 0.5]","['W1', 0.030079063279058016, [2.113733516340471]]","['Wp1', 2.5396351688300456e-15, [1.8218709362284398]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(14.999999999999998, 90.0)]","[0.5, 0.5]","['W4', 0.03349364905389034, [2.5054085802322286]]","['Wp1', 2.7755575615628914e-17, [0.9358003259911932]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(29.999999999999996, 36.03437746770785)]","[0.5, 0.5]","['W1', 0.03487600753774462, [1.7292684399372058]]","['Wp1', 1.8041124150158794e-16, [2.790771330300336]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(29.999999999999996, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.018745113471051955, [1.7308748180900153]]","['Wp1', -0.07759382672647995, [1.0598275295665478]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(29.999999999999996, 54.022918311805235)]","[0.5, 0.5]","['W1', 0.07166861127612821, [3.0344171595622784]]","['Wp1', 4.163336342344337e-17, [0.5012597125311636]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(29.999999999999996, 72.01145915590261)]","[0.4, 0.6]","['W1', 0.040747937709502594, [2.0216164618821697]]","['Wp1', -0.09397869960301429, [0.39758435451156376]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(29.999999999999996, 72.01145915590261)]","[0.5, 0.5]","['W1', 0.10824085488177243, [1.5025760315914098]]","['Wp1', -4.163336342344337e-17, [1.724910919626027]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(29.999999999999996, 90.0)]","[0.4, 0.6]","['W4', 0.04999999999999993, [3.119784492897377]]","['Wp1', -0.09999999999999998, [1.7773146661946693]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(29.999999999999996, 90.0)]","[0.5, 0.5]","['W4', 0.12499999999999989, [0.6728923199374053]]","['Wp1', -1.3877787807814457e-17, [1.0257940149421518]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 18.045836623610466)]","[0.5, 0.5]","['W2', 0.01229775040301148, [2.0724096029869274]]","['Wp1', 3.469446951953614e-18, [1.9160738516320046]]"
"['phi plus, phi minus', 'psi plus, psi minus']","[(45.0, 36.03437746770785)]","[0.2, 0.8]","['W1', 0.019133582237832247, [2.1728272890438878]]","['Wp1', -0.14881587002182625, [1.1595800341370863]]"
