W,min_W_prime,eta,chi
[-0.24841760958953768],[-0.24841782328253337],[0.5235987755982988],[0.001]
[-0.25444652592191586],[-0.2548445194469638],[0.5235987755982988],[0.033036659730508094]
[-0.24946447120034287],[-0.2510338841058848],[0.5235987755982988],[0.06507331946101619]
[-0.25357862699681805],[-0.25699571454565817],[0.5235987755982988],[0.09710997919152428]
[-0.2497403636477329],[-0.25576225595840907],[0.5235987755982988],[0.12914663892203238]
[-0.2514917479445725],[-0.26071592323236037],[0.5235987755982988],[0.16118329865254047]
[-0.24952106813774275],[-0.2626663618876902],[0.5235987755982988],[0.19321995838304856]
[-0.24932011677983504],[-0.2672041189435044],[0.5235987755982988],[0.22525661811355666]
[-0.2510092156682136],[-0.27374174497689685],[0.5235987755982988],[0.25729327784406475]
[-0.2491462903697672],[-0.27769671095083737],[0.5235987755982988],[0.2893299375745728]
[-0.24637495472557058],[-0.2806973869345845],[0.5235987755982988],[0.32136659730508094]
[-0.2476898245154857],[-0.28854936811430376],[0.5235987755982988],[0.35340325703558906]
[-0.2517476382610726],[-0.2990174575686365],[0.5235987755982988],[0.3854399167660971]
[-0.24574271895497574],[-0.3005224663338563],[0.5235987755982988],[0.4174765764966052]
[-0.252564347860729],[-0.31412643612007196],[0.5235987755982988],[0.4495132362271133]
[-0.2507230980555597],[-0.31991121203208156],[0.5235987755982988],[0.48154989595762143]
[-0.24986489684090651],[-0.32702849393592465],[0.5235987755982988],[0.5135865556881295]
[-0.2506671936522086],[-0.3353513924807271],[0.5235987755982988],[0.5456232154186376]
[-0.24785929276545665],[-0.3410647058483798],[0.5235987755982988],[0.5776598751491456]
[-0.24564358196086883],[-0.34617567261718507],[0.5235987755982988],[0.6096965348796538]
[-0.24678949828005567],[-0.3554299299703284],[0.5235987755982988],[0.6417331946101619]
[-0.2483622838171799],[-0.36636761658421574],[0.5235987755982988],[0.6737698543406699]
[-0.24819025718264476],[-0.3730061652706509],[0.5235987755982988],[0.7058065140711781]
[-0.24705398988277077],[-0.3794874783442902],[0.5235987755982988],[0.7378431738016862]
[-0.2492949585885995],[-0.38809299080306436],[0.5235987755982988],[0.7698798335321942]
[-0.24805381927484244],[-0.3968675342936421],[0.5235987755982988],[0.8019164932627023]
[-0.2557206935825461],[-0.4093066385516526],[0.5235987755982988],[0.8339531529932104]
[-0.24849041310674447],[-0.4117204016051539],[0.5235987755982988],[0.8659898127237186]
[-0.25129684084023707],[-0.41960579785791013],[0.5235987755982988],[0.8980264724542266]
[-0.24759960384121332],[-0.42291795709164093],[0.5235987755982988],[0.9300631321847347]
[-0.248118516390613],[-0.43042580477126763],[0.5235987755982988],[0.9620997919152429]
[-0.2518363981808387],[-0.4391829538091772],[0.5235987755982988],[0.9941364516457509]
[-0.24546481747646567],[-0.4412796963898762],[0.5235987755982988],[1.0261731113762589]
[-0.24929330680448647],[-0.449673336104398],[0.5235987755982988],[1.058209771106767]
[-0.24820128726021773],[-0.453897492500626],[0.5235987755982988],[1.090246430837275]
[-0.24720073993025007],[-0.46004582265983324],[0.5235987755982988],[1.1222830905677832]
[-0.24959291638115072],[-0.46599348691729564],[0.5235987755982988],[1.1543197502982911]
[-0.2494042855915879],[-0.4698138006685354],[0.5235987755982988],[1.1863564100287993]
[-0.2514873800417693],[-0.4766380034275851],[0.5235987755982988],[1.2183930697593075]
[-0.25390895032428384],[-0.48197141036600344],[0.5235987755982988],[1.2504297294898155]
[-0.25504758637182845],[-0.4864866728011077],[0.5235987755982988],[1.2824663892203236]
[-0.24612659394657457],[-0.4829160388312087],[0.5235987755982988],[1.3145030489508318]
[-0.2536381411767125],[-0.491078782320483],[0.5235987755982988],[1.3465397086813398]
[-0.24971606768535995],[-0.49059026288061913],[0.5235987755982988],[1.378576368411848]
[-0.24530274478897526],[-0.48831791309633654],[0.5235987755982988],[1.4106130281423561]
[-0.25120085508336976],[-0.49703000262292646],[0.5235987755982988],[1.442649687872864]
[-0.2514489716502254],[-0.4977061229618708],[0.5235987755982988],[1.4746863476033722]
[-0.25205901633676603],[-0.4994931525680653],[0.5235987755982988],[1.5067230073338802]
[-0.2507618938717193],[-0.4991925803989814],[0.5235987755982988],[1.5387596670643884]
[-0.2553104664309477],[-0.5012677953482784],[0.5235987755982988],[1.5707963267948966]
