states,eta-chi,probabilities,W,Wp
"['phi plus, phi minus', 'psi plus, psi minus']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W1', 0.38518119177162724, [0.6015897249914327]]","['Wp1', -2.1538148788759024, [0.8268082794791592]]"
"['phi plus, phi minus', 'HL_VR']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W2', 4.276044672352372, [1.5669247597135292]]","['Wp2', -5.994440617768776, [2.9280119865614]]"
"['phi plus, phi minus', 'HL_VR']","[0.1, 0.9]","[45.0, 90.0]","['W2', 7.82997498598596, [1.3018421206201152]]","['Wp2', -13.026623846226123, [1.1621976618323218]]"
"['phi plus, phi minus', 'HL_VR']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W2', 3.227662936317822, [2.233541418639865]]","['Wp2', -4.551552158448586, [0.40833011455286655]]"
"['phi plus, phi minus', 'HL_VR']","[0.2, 0.8]","[45.0, 90.0]","['W2', 6.167790635102711, [1.1423255495749982]]","['Wp2', -10.936169915615249, [1.422506814671718]]"
"['phi plus, phi minus', 'HL_VR']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W2', 2.5688826539592764, [2.3558499558932193]]","['Wp2', -3.5581460105414395, [2.8328514495648207]]"
"['phi plus, phi minus', 'HL_VR']","[0.3, 0.7]","[45.0, 90.0]","['W2', 4.815124878671113, [2.7874794789128625]]","['Wp2', -9.172793020324377, [0.7330543405558696]]"
"['phi plus, phi minus', 'HL_VR']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W5', 0.9293878316430435, [2.894360619991002]]","['Wp1', -2.9900478415953495, [0.1789604927053566]]"
"['phi plus, phi minus', 'HL_VR']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W2', 2.155460087937472, [1.0580444218428884]]","['Wp2', -3.031547810557854, [1.168450382219533]]"
"['phi plus, phi minus', 'HL_VR']","[0.4, 0.6]","[45.0, 90.0]","['W2', 3.693716639754998, [2.141949235803146]]","['Wp2', -7.762691211548522, [0.30436820803025355]]"
"['phi plus, phi minus', 'HL_VR']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W2', 0.3618267550507941, [0.01714994102657278]]","['Wp1', -2.4678203546602466, [2.795938334863577]]"
"['phi plus, phi minus', 'HL_VR']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W2', 1.8152320844313947, [2.4521154053353915]]","['Wp2', -2.880225948048702, [1.32538305273438]]"
"['phi plus, phi minus', 'HL_VR']","[0.5, 0.5]","[45.0, 90.0]","['W2', 2.706941268488109, [3.055628205766936]]","['Wp2', -6.6563252121211764, [0.6679638929895151]]"
"['phi plus, phi minus', 'HD_iVA']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W2', 4.276044672352372, [2.5294342655063917]]","['Wp3', -5.9944406177687775, [1.7604207436696202]]"
"['phi plus, phi minus', 'HD_iVA']","[0.1, 0.9]","[45.0, 90.0]","['W2', 7.829974985985961, [2.0875511339693458]]","['Wp3', -13.026623846226126, [2.6802195689141275]]"
"['phi plus, phi minus', 'HD_iVA']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W2', 3.227662936317822, [1.8218167569414438]]","['Wp3', -4.551552158448583, [1.8624796472148735]]"
"['phi plus, phi minus', 'HD_iVA']","[0.2, 0.8]","[45.0, 90.0]","['W2', 6.167790635102712, [2.062774635277608]]","['Wp3', -10.936169915615235, [2.40352664351313]]"
"['phi plus, phi minus', 'HD_iVA']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W2', 2.5688826539592684, [0.3141622800241134]]","['Wp3', -3.558146010541445, [0.5431154471499076]]"
"['phi plus, phi minus', 'HD_iVA']","[0.3, 0.7]","[45.0, 90.0]","['W2', 4.815124878671113, [1.8231995663487777]]","['Wp3', -9.172793020324377, [2.8113524334717637]]"
"['phi plus, phi minus', 'HD_iVA']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W2', 2.1554600879374717, [0.80024065964235]]","['Wp3', -3.0315478105578615, [2.188149700455056]]"
"['phi plus, phi minus', 'HD_iVA']","[0.4, 0.6]","[45.0, 90.0]","['W2', 3.6937166397549968, [1.3018172040565184]]","['Wp3', -7.762691211548519, [3.056735109758109]]"
"['phi plus, phi minus', 'HD_iVA']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W2', 0.36182675505079387, [1.5085944897402057]]","['Wp1', -2.4678203546602475, [1.842795033730239]]"
"['phi plus, phi minus', 'HD_iVA']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W4', 5.139702581458829, [1.1666268908861144]]","['Wp3', -2.880225948048705, [0.8527418129838802]]"
"['phi plus, phi minus', 'HD_iVA']","[0.5, 0.5]","[45.0, 90.0]","['W2', 2.706941268488091, [2.0252280672236744]]","['Wp3', -6.656325212121175, [1.973696598748004]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W2', 0.38518119177162635, [2.3994725491836886]]","['Wp1', -2.1538148788759033, [0.6153495901020041]]"
"['psi plus, psi minus', 'HR_iVL']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W4', 1.3489276959181664, [0.02302867149004521]]","['Wp2', -5.410293846694064, [2.67555012580077]]"
"['psi plus, psi minus', 'HL_VR']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W1', 4.2760446723523735, [1.9750522516868267]]","['Wp2', -5.994440617768773, [0.2709236332903937]]"
"['psi plus, psi minus', 'HL_VR']","[0.1, 0.9]","[45.0, 90.0]","['W1', 7.82997498598596, [1.8856092514535738]]","['Wp2', -13.026623846226126, [2.78039111662668]]"
"['psi plus, psi minus', 'HL_VR']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W1', 3.227662936317823, [2.4779274195574055]]","['Wp2', -4.55155215844858, [2.1192841080697638]]"
"['psi plus, psi minus', 'HL_VR']","[0.2, 0.8]","[45.0, 90.0]","['W1', 6.16779063510271, [2.1659910918680123]]","['Wp2', -10.936169915615253, [2.02428198256784]]"
"['psi plus, psi minus', 'HL_VR']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W1', 2.5688826539592675, [1.8337230101357438]]","['Wp2', -3.5581460105414404, [2.4485107294380923]]"
"['psi plus, psi minus', 'HL_VR']","[0.3, 0.7]","[45.0, 90.0]","['W1', 4.815124878671113, [1.9846444120740179]]","['Wp2', -9.17279302032438, [2.683843841346798]]"
"['psi plus, psi minus', 'HL_VR']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W1', 2.1554600879374726, [0.92921945408799]]","['Wp2', -3.0315478105578606, [0.16538208022793485]]"
"['psi plus, psi minus', 'HL_VR']","[0.4, 0.6]","[45.0, 90.0]","['W1', 3.6937166397550296, [2.8773353607407963]]","['Wp2', -7.762691211548518, [3.0685978516669503]]"
"['psi plus, psi minus', 'HL_VR']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W1', 0.3618267550507941, [2.5157106266362845]]","['Wp1', -2.4678203546602484, [1.8683072956815532]]"
"['psi plus, psi minus', 'HL_VR']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W1', 1.8152320844313918, [1.138998054921368]]","['Wp2', -2.8802259480484307, [3.1292379842201443]]"
"['psi plus, psi minus', 'HL_VR']","[0.5, 0.5]","[45.0, 90.0]","['W1', 2.7069412684880922, [2.8953606151755706]]","['Wp2', -6.656325212121182, [1.6692480586929452]]"
"['psi plus, psi minus', 'HA_iVD']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W4', 4.36922319376209, [0.2393860992416646]]","['Wp3', -5.994440617768776, [0.155156841615587]]"
"['psi plus, psi minus', 'HA_iVD']","[0.1, 0.9]","[45.0, 90.0]","['W1', 7.8299749859859595, [1.4246962115861326]]","['Wp3', -13.026623846226128, [1.4286723459392674]]"
