states,eta-chi,probabilities,W,Wp,Wpp
"['HR_VL', 'HL_iVR']","(0.7853981633974483, 0.7858981633974483)","[0.2, 0.8]","['W1', 0.06980566045238824, [2.874131465246228]]","['W_pp_a2', 3.412975367769236e-05, [1.966483412185203]]","[3.412975367769236e-05, 'W_pp_a2', [1.966483412185203]]"
"['HR_VL', 'HL_iVR']","(0.7853981633974483, 1.5707963267948966)","[0.2, 0.8]","['W6', 0.19999999999999993, [1.2730202816702718]]","['W_pp_a2', 1.9994671267493622e-05, [0.3361411639114262]]","[1.9994671267493622e-05, 'W_pp_a2', [0.3361411639114262]]"
"['HR_VL', 'HL_iVR']","(1.5707963267948966, 0.7858981633974483)","[0.2, 0.8]","['W1', 0.06980566045238826, [2.9865995928639473]]","['W_pp_a2', 3.412976113017196e-05, [2.902976836212233]]","[3.412976113017196e-05, 'W_pp_a2', [2.902976836212233]]"
"['HR_VL', 'HL_iVR']","(1.5707963267948966, 1.5707963267948966)","[0.2, 0.8]","['W4', 0.1999999999999999, [0.31969924761640506]]","['W_pp_a2', 1.9995023267949248e-05, [0.22883594057060658]]","[1.9995023267949248e-05, 'W_pp_a2', [0.22883594057060658]]"
"['HR_VL', 'HL_iVR']","(0.7853981633974483, 0.7858981633974483)","[0.4, 0.6]","['W1', 0.059674620703462154, [2.6004445054442566]]","['W_pp_a2', 6.826290110131775e-05, [0.11094720145335954]]","[6.826290110131775e-05, 'W_pp_a2', [0.11094720145335954]]"
"['HR_VL', 'HL_iVR']","(0.7853981633974483, 1.5707963267948966)","[0.4, 0.6]","['W1', 0.14999999999999994, [0.7527956867151298]]","['W_pp_a2', 4.00048778867893e-05, [2.9439988227959906]]","[4.00048778867893e-05, 'W_pp_a2', [2.9439988227959906]]"
"['HR_VL', 'HL_iVR']","(1.5707963267948966, 0.7858981633974483)","[0.4, 0.6]","['W1', 0.059674620703451656, [1.5158983804793893]]","['W_pp_b2', 6.826231126498937e-05, [0.6979222929794958]]","[6.826231126498937e-05, 'W_pp_b2', [0.6979222929794958]]"
"['HR_VL', 'HL_iVR']","(1.5707963267948966, 1.5707963267948966)","[0.4, 0.6]","['W4', 0.14999999999999994, [2.498622144256002]]","['W_pp_b2', 3.999900120225147e-05, [1.2462425242687836]]","[3.999900120225147e-05, 'W_pp_b2', [1.2462425242687836]]"
"['HL_VR', 'HR_iVL']","(0.7853981633974483, 0.7858981633974483)","[0.2, 0.8]","['W1', 0.0698056604525034, [1.1914552621014476]]","['W_pp_a2', 3.41297321144403e-05, [1.847363873702096]]","[3.41297321144403e-05, 'W_pp_a2', [1.847363873702096]]"
"['HL_VR', 'HR_iVL']","(0.7853981633974483, 1.5707963267948966)","[0.2, 0.8]","['W3', 0.1999999999999999, [0.7391726817627559]]","['W_pp_b2', 2.0002166989246052e-05, [0.998380274708949]]","[2.0002166989246052e-05, 'W_pp_b2', [0.998380274708949]]"
