W,min_W_prime,eta,chi
[0.0014536776167555423],[-0.0028029703601847138],[0.7853981633974483],[0.001]
[-0.001340138145950756],[-0.013668240899595684],[0.7853981633974483],[0.033036659730508094]
[0.0034675430939998825],[-0.02481838977359308],[0.7853981633974483],[0.06507331946101619]
[-0.00017046829787566446],[-0.04306199211846362],[0.7853981633974483],[0.09710997919152428]
[-0.0008361711799384985],[-0.059937596137328464],[0.7853981633974483],[0.12914663892203238]
[0.0012516987307544442],[-0.07392447195963694],[0.7853981633974483],[0.16118329865254047]
[-0.0009841480398736766],[-0.09135660173988175],[0.7853981633974483],[0.19321995838304856]
[-0.0004540652578717821],[-0.10505678650078004],[0.7853981633974483],[0.22525661811355666]
[0.000154733412704702],[-0.12279157014702183],[0.7853981633974483],[0.25729327784406475]
[-0.0022962434735688724],[-0.13827878474637512],[0.7853981633974483],[0.2893299375745728]
[0.0006349677754450159],[-0.15426151296113047],[0.7853981633974483],[0.32136659730508094]
[0.001040775796642687],[-0.16606672553531665],[0.7853981633974483],[0.35340325703558906]
[0.0036238385452529434],[-0.1783990458307354],[0.7853981633974483],[0.3854399167660971]
[-0.0033812143737941584],[-0.20087273252043988],[0.7853981633974483],[0.4174765764966052]
[0.0008595376726226757],[-0.2116128849988366],[0.7853981633974483],[0.4495132362271133]
[-0.0049232509828088895],[-0.2291668981879374],[0.7853981633974483],[0.48154989595762143]
[0.008008908000383508],[-0.23646919803400562],[0.7853981633974483],[0.5135865556881295]
[-0.003653652583854691],[-0.2572959164870122],[0.7853981633974483],[0.5456232154186376]
[-0.004147653978318637],[-0.27007848186799505],[0.7853981633974483],[0.5776598751491456]
[0.0008479275517444267],[-0.2820499170051679],[0.7853981633974483],[0.6096965348796538]
[-0.0026592668657559613],[-0.29473547723679694],[0.7853981633974483],[0.6417331946101619]
[-0.004835445898838089],[-0.31033309306813167],[0.7853981633974483],[0.6737698543406699]
[0.005833149097037166],[-0.31498607920147836],[0.7853981633974483],[0.7058065140711781]
[0.004963347135793111],[-0.3287213080389139],[0.7853981633974483],[0.7378431738016862]
[0.003933250572686819],[-0.3430490263703334],[0.7853981633974483],[0.7698798335321942]
[0.0019095033684978177],[-0.35324552333641956],[0.7853981633974483],[0.8019164932627023]
[0.003499880389586975],[-0.36304702274988765],[0.7853981633974483],[0.8339531529932104]
[0.0022320803632582655],[-0.3756803530153019],[0.7853981633974483],[0.8659898127237186]
[0.0022275054600793204],[-0.3854019921669872],[0.7853981633974483],[0.8980264724542266]
[-0.0015647725604104924],[-0.3978633941235431],[0.7853981633974483],[0.9300631321847347]
[0.002573613885548812],[-0.4024448099980148],[0.7853981633974483],[0.9620997919152429]
[-0.0048198077334021885],[-0.4147152179046719],[0.7853981633974483],[0.9941364516457509]
[-0.000392982194829935],[-0.4221647777454795],[0.7853981633974483],[1.0261731113762589]
[-0.0016504302024473237],[-0.43066451599059175],[0.7853981633974483],[1.058209771106767]
[0.00336318215099491],[-0.43768767473401504],[0.7853981633974483],[1.090246430837275]
[-0.0034778589345548206],[-0.44531352675124697],[0.7853981633974483],[1.1222830905677832]
[3.5161474230693585e-05],[-0.45274668463362777],[0.7853981633974483],[1.1543197502982911]
[0.0006887148932228429],[-0.4586199234175384],[0.7853981633974483],[1.1863564100287993]
[-0.003450139430005815],[-0.4642896375308924],[0.7853981633974483],[1.2183930697593075]
[0.0016051241526630088],[-0.4680458463534029],[0.7853981633974483],[1.2504297294898155]
[-0.0023335380950185317],[-0.47631316792483147],[0.7853981633974483],[1.2824663892203236]
[-0.0017595041658892952],[-0.4806052248765297],[0.7853981633974483],[1.3145030489508318]
[-0.0005560263388940038],[-0.48125696327929457],[0.7853981633974483],[1.3465397086813398]
[-0.0004894777321150438],[-0.4867530591164231],[0.7853981633974483],[1.378576368411848]
[-0.0030201403796305043],[-0.4921385252732971],[0.7853981633974483],[1.4106130281423561]
[-0.001993167217435905],[-0.49135925354396476],[0.7853981633974483],[1.442649687872864]
[-0.0025241085398838635],[-0.4920857359116758],[0.7853981633974483],[1.4746863476033722]
[-0.0037884505285159624],[-0.4953659248505857],[0.7853981633974483],[1.5067230073338802]
[-0.0023432751165721353],[-0.49503348978908757],[0.7853981633974483],[1.5387596670643884]
[-0.0012989522690971182],[-0.4957971022025772],[0.7853981633974483],[1.5707963267948966]
