W,min_W_prime,eta,chi
[-0.24999999999999994],[-0.2500003749995937],[0.5235987755982988],[0.001]
[-0.24999999999999994],[-0.25013021889428083],[0.5235987755982988],[0.01863816097522356]
[-0.24999999999999994],[-0.2504927872122161],[0.5235987755982988],[0.03627632195044712]
[-0.24999999999999992],[-0.2510866220501742],[0.5235987755982988],[0.05391448292567068]
[-0.24999999999999992],[-0.25190935228253947],[0.5235987755982988],[0.07155264390089423]
[-0.24999999999999994],[-0.2529577267161611],[0.5235987755982988],[0.08919080487611779]
[-0.24999999999999994],[-0.2542276585989771],[0.5235987755982988],[0.10682896585134136]
[-0.24999999999999994],[-0.2557142800188946],[0.5235987755982988],[0.12446712682656491]
[-0.24999999999999994],[-0.2574120044744432],[0.5235987755982988],[0.14210528780178847]
[-0.24999999999999992],[-0.2593145957388541],[0.5235987755982988],[0.15974344877701202]
[-0.24999999999999994],[-0.2614152410761722],[0.5235987755982988],[0.17738160975223558]
[-0.2499999999999999],[-0.2637066268961624],[0.5235987755982988],[0.19501977072745913]
[-0.24999999999999994],[-0.26618101504258057],[0.5235987755982988],[0.2126579317026827]
[-0.24999999999999994],[-0.2688303180810924],[0.5235987755982988],[0.23029609267790627]
[-0.24999999999999992],[-0.2716461721708464],[0.5235987755982988],[0.24793425365312982]
[-0.24999999999999994],[-0.2746200063491415],[0.5235987755982988],[0.26557241462835335]
[-0.24999999999999994],[-0.2777431073147463],[0.5235987755982988],[0.28321057560357693]
[-0.24999999999999994],[-0.2810066790474977],[0.5235987755982988],[0.3008487365788005]
[-0.24999999999999994],[-0.28440189683813194],[0.5235987755982988],[0.31848689755402404]
[-0.24999999999999994],[-0.28791995551446],[0.5235987755982988],[0.3361250585292476]
[-0.24999999999999994],[-0.2915521118327189],[0.5235987755982988],[0.35376321950447115]
[-0.24999999999999992],[-0.295289721153768],[0.5235987755982988],[0.37140138047969473]
[-0.24999999999999994],[-0.29912426864263064],[0.5235987755982988],[0.38903954145491826]
[-0.24999999999999994],[-0.3030473953183467],[0.5235987755982988],[0.40667770243014184]
[-0.24999999999999994],[-0.3070509193420512],[0.5235987755982988],[0.4243158634053654]
[-0.24999999999999994],[-0.31112685296821035],[0.5235987755982988],[0.44195402438058895]
[-0.24999999999999992],[-0.31526741560091204],[0.5235987755982988],[0.45959218535581253]
[-0.24999999999999994],[-0.3194650433979306],[0.5235987755982988],[0.47723034633103606]
[-0.25],[-0.32371239585361633],[0.5235987755982988],[0.49486850730625964]
[-0.24999999999999994],[-0.3280023597708178],[0.5235987755982988],[0.5125066682814832]
[-0.24999999999999994],[-0.33232805100487794],[0.5235987755982988],[0.5301448292567067]
[-0.24999999999999992],[-0.33668281433164277],[0.5235987755982988],[0.5477829902319303]
[-0.24999999999999994],[-0.3410602217583265],[0.5235987755982988],[0.5654211512071539]
[-0.24999999999999994],[-0.34545406956247987],[0.5235987755982988],[0.5830593121823774]
[-0.24999999999999994],[-0.34985837431135497],[0.5235987755982988],[0.600697473157601]
[-0.24999999999999994],[-0.35426736808245507],[0.5235987755982988],[0.6183356341328246]
[-0.24999999999999992],[-0.35867549307655333],[0.5235987755982988],[0.6359737951080481]
[-0.24999999999999994],[-0.3630773957872835],[0.5235987755982988],[0.6536119560832716]
[-0.24999999999999994],[-0.367467920866732],[0.5235987755982988],[0.6712501170584952]
[-0.24999999999999992],[-0.37184210480431856],[0.5235987755982988],[0.6888882780337188]
[-0.24999999999999994],[-0.3761951695166015],[0.5235987755982988],[0.7065264390089423]
[-0.24999999999999994],[-0.3805225159283715],[0.5235987755982988],[0.7241645999841659]
[-0.25],[-0.3848197176103415],[0.5235987755982988],[0.7418027609593895]
[-0.2499999999999999],[-0.389082514525729],[0.5235987755982988],[0.759440921934613]
[-0.24999999999999992],[-0.3933068069268648],[0.5235987755982988],[0.7770790829098365]
[-0.24999999999999994],[-0.39748864943346107],[0.5235987755982988],[0.7947172438850602]
[-0.25],[-0.40162424531614316],[0.5235987755982988],[0.8123554048602837]
[-0.24999999999999994],[-0.40570994100211644],[0.5235987755982988],[0.8299935658355072]
[-0.2499999999999999],[-0.40974222081423917],[0.5235987755982988],[0.8476317268107308]
[-0.2499999999999999],[-0.4137177019501486],[0.5235987755982988],[0.8652698877859544]
[-0.24999999999999994],[-0.41763312970431754],[0.5235987755982988],[0.8829080487611779]
[-0.24999999999999992],[-0.42148537293286104],[0.5235987755982988],[0.9005462097364014]
[-0.24999999999999994],[-0.42527141975847776],[0.5235987755982988],[0.9181843707116251]
[-0.24999999999999994],[-0.42898837351099534],[0.5235987755982988],[0.9358225316868486]
[-0.24999999999999994],[-0.4326334488975102],[0.5235987755982988],[0.9534606926620721]
[-0.24999999999999994],[-0.4362039683950013],[0.5235987755982988],[0.9710988536372956]
[-0.24999999999999994],[-0.4396973588574928],[0.5235987755982988],[0.9887370146125193]
[-0.24999999999999994],[-0.44311114832928333],[0.5235987755982988],[1.0063751755877428]
[-0.2499999999999999],[-0.4464429630554183],[0.5235987755982988],[1.0240133365629662]
[-0.24999999999999994],[-0.44969052468039566],[0.5235987755982988],[1.0416514975381899]
[-0.2499999999999999],[-0.45285164762605956],[0.5235987755982988],[1.0592896585134133]
[-0.2499999999999999],[-0.45592423663969955],[0.5235987755982988],[1.076927819488637]
[-0.24999999999999994],[-0.4589062845035239],[0.5235987755982988],[1.0945659804638606]
[-0.24999999999999994],[-0.461795869896896],[0.5235987755982988],[1.112204141439084]
[-0.24999999999999994],[-0.4645911554029928],[0.5235987755982988],[1.1298423024143076]
[-0.24999999999999994],[-0.467290385651846],[0.5235987755982988],[1.1474804633895312]
[-0.24999999999999994],[-0.46989188559207007],[0.5235987755982988],[1.1651186243647547]
[-0.2499999999999999],[-0.472394058883922],[0.5235987755982988],[1.1827567853399783]
[-0.24999999999999994],[-0.47479538640670993],[0.5235987755982988],[1.200394946315202]
[-0.24999999999999994],[-0.4770944248739324],[0.5235987755982988],[1.2180331072904254]
[-0.24999999999999992],[-0.47928980554990014],[0.5235987755982988],[1.235671268265649]
[-0.24999999999999994],[-0.48138023306195843],[0.5235987755982988],[1.2533094292408724]
[-0.24999999999999994],[-0.48336448430279233],[0.5235987755982988],[1.270947590216096]
[-0.24999999999999992],[-0.48524140741764943],[0.5235987755982988],[1.2885857511913197]
[-0.2499999999999999],[-0.4870099208716616],[0.5235987755982988],[1.306223912166543]
[-0.24999999999999994],[-0.4886690125927833],[0.5235987755982988],[1.3238620731417667]
[-0.24999999999999994],[-0.4902177391861886],[0.5235987755982988],[1.3415002341169904]
[-0.24999999999999994],[-0.4916552252162881],[0.5235987755982988],[1.3591383950922138]
[-0.24999999999999992],[-0.49298066255282724],[0.5235987755982988],[1.3767765560674374]
[-0.24999999999999994],[-0.49419330977782444],[0.5235987755982988],[1.394414717042661]
[-0.24999999999999994],[-0.49529249165039146],[0.5235987755982988],[1.4120528780178845]
[-0.24999999999999994],[-0.4962775986267517],[0.5235987755982988],[1.4296910389931081]
[-0.24999999999999992],[-0.4971480864330387],[0.5235987755982988],[1.4473291999683318]
[-0.24999999999999992],[-0.49790347568871407],[0.5235987755982988],[1.4649673609435552]
[-0.24999999999999994],[-0.4985433515786909],[0.5235987755982988],[1.4826055219187788]
[-0.24999999999999994],[-0.49906736357249415],[0.5235987755982988],[1.5002436828940022]
[-0.2499999999999999],[-0.49947522518902143],[0.5235987755982988],[1.5178818438692259]
[-0.2499999999999999],[-0.49976671380570126],[0.5235987755982988],[1.5355200048444495]
[-0.2499999999999999],[-0.49994167051106864],[0.5235987755982988],[1.553158165819673]
[-0.24999999999999994],[-0.4999999999999999],[0.5235987755982988],[1.5707963267948966]
