start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-05-20_14-54-37,2025-05-20_14-54-41,3,1,-65.41782366071425,-28.001953125,1.0055803571428577,67.50753348214286,45.0,45.00180889892578,0.0015039062499937472,-37.498867187500025,-120.00092114257814,26220.333333333332,27523.666666666668,0.0,514.3333333333334,679.6666666666666,0.0,0.0,0.0,39.282452967083294,95.83376811495576,0.0,8.37323779138698,7.535103036971544,0.0,0.0,0.0,
2025-05-20_14-54-41,2025-05-20_14-54-45,3,1,-65.41782366071425,-26.881975446428555,1.0055803571428577,67.50753348214286,45.0,45.00180889892578,0.0015039062499937472,-37.498867187500025,-120.00092114257814,26363.666666666668,27685.0,0.0,532.3333333333334,450.3333333333333,0.0,0.0,0.0,90.06725881868012,71.59841711471933,0.0,8.110350040397627,17.32371528024838,0.0,0.0,0.0,
2025-05-20_14-54-46,2025-05-20_14-54-49,3,1,-65.41782366071425,-25.777064732142833,1.0055803571428577,67.50753348214286,45.0,45.00180889892578,0.0015039062499937472,-37.498867187500025,-120.00092114257814,26313.0,27767.0,0.0,513.3333333333334,297.0,0.0,0.0,0.0,24.54248017893329,27.098585448936877,0.0,20.915172589401326,6.92820323027551,0.0,0.0,0.0,
2025-05-20_14-54-50,2025-05-20_14-54-54,3,1,-65.41782366071425,-24.664620535714278,1.0055803571428577,67.50753348214286,45.0,45.00180889892578,0.0015039062499937472,-37.498867187500025,-120.00092114257814,26514.0,28005.0,0.0,491.0,193.0,0.0,0.0,0.0,9.165151389911681,107.9490620616965,0.0,21.031722072463143,4.582575694955841,0.0,0.0,0.0,
2025-05-20_14-54-55,2025-05-20_14-54-58,3,1,-65.41782366071425,-23.549665178571445,1.0055803571428577,67.50753348214286,45.0,45.00180889892578,0.0015039062499937472,-37.498867187500025,-120.00092114257814,26668.0,28196.333333333332,0.0,525.6666666666666,102.33333333333333,0.0,0.0,0.0,161.2978611141512,159.23811659831256,0.0,14.745997573729777,6.741249472052229,0.0,0.0,0.0,
2025-05-20_14-54-59,2025-05-20_14-55-03,3,1,-65.41782366071425,-22.434709821428555,1.0055803571428577,67.50753348214286,45.0,45.00180889892578,0.0015039062499937472,-37.498867187500025,-120.00092114257814,26976.333333333332,28332.333333333332,0.0,511.6666666666667,61.666666666666664,0.0,0.0,0.0,64.78768744479498,54.3609336850565,0.0,17.91027017601292,3.7118429085533484,0.0,0.0,0.0,
2025-05-20_14-55-03,2025-05-20_14-55-07,3,1,-65.41782366071425,-21.327287946428555,1.0055803571428577,67.50753348214286,45.0,45.00180889892578,0.0015039062499937472,-37.498867187500025,-120.00092114257814,26533.333333333332,28790.666666666668,0.0,513.3333333333334,44.0,0.0,0.0,0.0,100.16708263918065,50.8341529988561,0.0,14.193112570695845,4.041451884327381,0.0,0.0,0.0,
2025-05-20_14-55-08,2025-05-20_14-55-11,3,1,-65.41782366071425,-20.212332589285722,1.0055803571428577,67.50753348214286,45.0,45.00180889892578,0.0015039062499937472,-37.498867187500025,-120.00092114257814,26786.333333333332,28816.0,0.0,505.3333333333333,59.333333333333336,0.0,0.0,0.0,142.6561522605239,125.38474123007686,0.0,9.527737285304301,3.8441875315569325,0.0,0.0,0.0,
2025-05-20_14-55-12,2025-05-20_14-55-16,3,1,-65.41782366071425,-19.104910714285722,1.0055803571428577,67.50753348214286,45.0,45.00180889892578,0.0015039062499937472,-37.498867187500025,-120.00092114257814,26660.0,28745.333333333332,0.0,501.6666666666667,111.66666666666667,0.0,0.0,0.0,61.02458520956943,13.691035185275233,0.0,12.666666666666666,8.333333333333334,0.0,0.0,0.0,
2025-05-20_14-55-17,2025-05-20_14-55-20,3,1,-65.41782366071425,-17.997488839285722,1.0055803571428577,67.50753348214286,45.0,45.00180889892578,0.0015039062499937472,-37.498867187500025,-120.00092114257814,26592.666666666668,28940.333333333332,0.0,485.6666666666667,182.66666666666666,0.0,0.0,0.0,53.060761815530356,42.04098529345435,0.0,8.37323779138698,6.064468466220084,0.0,0.0,0.0,
