start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-05-20_14-59-03,2025-05-20_14-59-18,5,3,-65.43289062500003,-27.996930803571445,0.9955357142857153,67.5,44.99246651785714,45.00233151245117,0.0015039062499937472,-37.498867187500025,-120.00092114257814,26266.26666666667,27551.6,0.0,512.5333333333333,652.6666666666666,0.0,0.06666666666666667,0.0,52.33836493858447,36.64262848407835,0.0,2.2866763848190006,6.164414002968977,0.0,0.06666666666666667,0.0,
2025-05-20_14-59-19,2025-05-20_14-59-35,5,3,-65.43289062500003,-26.881975446428555,0.9955357142857153,67.5,44.99246651785714,45.00233151245117,0.0015039062499937472,-37.498867187500025,-120.00092114257814,26353.13333333333,27723.13333333334,0.0,521.3333333333333,473.4,0.0,0.13333333333333333,0.0,74.70910996064066,30.181046296567793,0.0,4.854551129266925,2.2519127672072714,0.0,0.0816496580927726,0.0,
2025-05-20_14-59-38,2025-05-20_14-59-54,5,3,-65.43289062500003,-25.774553571428555,0.9955357142857153,67.5,44.99246651785714,45.00233151245117,0.0015039062499937472,-37.498867187500025,-120.00092114257814,26509.2,27974.533333333336,0.0,505.3333333333333,319.8,0.0,0.0,0.0,47.927445164539975,40.80748841954255,0.0,7.142206319556385,3.2086688136290284,0.0,0.0,0.0,
2025-05-20_14-59-55,2025-05-20_15-00-10,5,3,-65.43289062500003,-24.667131696428555,0.9955357142857153,67.5,44.99246651785714,45.00233151245117,0.0015039062499937472,-37.498867187500025,-120.00092114257814,26426.93333333333,27976.06666666667,0.0,516.5999999999999,187.73333333333335,0.0,0.2,0.0,21.298252406137614,40.680516767175746,0.0,3.776241517699834,3.5345909711497474,0.0,0.0816496580927726,0.0,
2025-05-20_15-00-11,2025-05-20_15-00-26,5,3,-65.43289062500003,-23.549665178571445,0.9955357142857153,67.5,44.99246651785714,45.00233151245117,0.0015039062499937472,-37.498867187500025,-120.00092114257814,26575.86666666666,28321.466666666667,0.0,504.8666666666667,104.06666666666668,0.0,0.06666666666666667,0.0,62.014836934398154,42.95729145196282,0.0,3.7824154540011343,4.02409410095407,0.0,0.06666666666666667,0.0,
2025-05-20_15-00-27,2025-05-20_15-00-43,5,3,-65.43289062500003,-22.434709821428555,0.9955357142857153,67.5,44.99246651785714,45.00233151245117,0.0015039062499937472,-37.498867187500025,-120.00092114257814,26616.6,28327.6,0.0,511.2,60.6,0.0,0.0,0.0,43.79616928961301,31.33890021469592,0.0,4.888308046303504,1.3960261060914618,0.0,0.0,0.0,
2025-05-20_15-00-44,2025-05-20_15-00-59,5,3,-65.43289062500003,-21.33984375,0.9955357142857153,67.5,44.99246651785714,45.00233151245117,0.0015039062499937472,-37.498867187500025,-120.00092114257814,26628.4,28538.466666666664,0.0,507.8666666666667,44.06666666666666,0.0,0.06666666666666667,0.0,45.944580142215436,31.191808041356968,0.0,5.048212004704674,1.568438714135812,0.0,0.06666666666666667,0.0,
2025-05-20_15-01-00,2025-05-20_15-01-16,5,3,-65.43289062500003,-20.219866071428555,0.9955357142857153,67.5,44.99246651785714,45.00233151245117,0.0015039062499937472,-37.498867187500025,-120.00092114257814,26657.86666666667,28649.8,0.0,512.4,65.26666666666668,0.0,0.2,0.0,29.154873806392285,90.73616209158875,0.0,2.0827332469084503,3.3423212160280342,0.0,0.0816496580927726,0.0,
2025-05-20_15-01-16,2025-05-20_15-01-31,5,3,-65.43289062500003,-19.109933035714278,0.9955357142857153,67.5,44.99246651785714,45.00233151245117,0.0015039062499937472,-37.498867187500025,-120.00092114257814,26673.733333333337,28771.333333333332,0.0,515.7333333333333,118.4,0.0,0.2,0.0,24.732210217087662,38.65933838601571,0.0,6.46993044784873,3.1892179466306643,0.0,0.1333333333333333,0.0,
2025-05-20_15-01-32,2025-05-20_15-01-48,5,3,-65.43289062500003,-17.997488839285722,0.9955357142857153,67.5,44.99246651785714,45.00233151245117,0.0015039062499937472,-37.498867187500025,-120.00092114257814,26604.533333333333,28884.93333333333,0.0,522.2666666666667,181.06666666666666,0.0,0.2,0.0,63.27932785146607,32.86916826179512,0.0,7.697329984409458,2.846830596372821,0.0,0.0816496580927726,0.0,
