start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-05-23_10-52-26,2025-05-23_10-52-41,5,3,-65.42033482142858,-14.755580357142833,0.9955357142857153,-0.002511160714277594,-0.002511160714277594,0.0012214355468813665,0.0019921874999937472,0.001376953124974989,-0.0019624953270067635,28479.333333333336,29507.2,0.0,503.0,1575.2,0.0,0.3333333333333333,0.0,52.2093010019395,90.53959232168971,0.0,6.282250127674534,8.663204436645302,0.0,0.18257418583505536,0.0,
2025-05-23_10-52-53,2025-05-23_10-53-08,5,3,-65.42033482142858,-14.755580357142833,0.9955357142857153,-0.002511160714277594,-0.002511160714277594,45.00233151245117,-0.00044921875002046363,45.0024755859375,-0.0019624953270067635,27656.4,29224.666666666668,0.0,496.8666666666666,1634.8666666666666,0.0,0.2,0.0,35.05430707408805,41.800983507834054,0.0,5.227703978697423,14.198434968529293,0.0,0.1333333333333333,0.0,
2025-05-23_10-53-27,2025-05-23_10-53-42,5,3,-66.04310267857142,-21.284598214285722,0.9955357142857153,67.49246651785714,44.994977678571416,0.0012214355468813665,-0.00044921875002046363,0.0008581542968499889,-0.0019624953270067635,27803.13333333334,29235.86666666667,0.0,492.7333333333334,907.3333333333334,0.0,0.06666666666666667,0.0,80.83883830052105,36.20905350261909,0.0,5.011542233240735,7.38542107428172,0.0,0.06666666666666667,0.0,HH
2025-05-23_10-53-49,2025-05-23_10-54-05,5,3,-66.04310267857142,-21.284598214285722,0.9955357142857153,67.49246651785714,44.994977678571416,45.00233151245117,-0.00044921875002046363,0.0008581542968499889,-0.0019624953270067635,27854.333333333336,28918.333333333332,0.0,503.66666666666663,676.9333333333333,0.0,0.13333333333333333,0.0,50.58699876889742,31.17121178979826,0.0,7.0922492905988515,10.826613300361078,0.0,0.13333333333333333,0.0,HV
2025-05-23_10-54-09,2025-05-23_10-54-25,5,3,-66.04310267857142,-21.284598214285722,0.9955357142857153,67.49246651785714,44.994977678571416,67.50183941650391,-0.00044921875002046363,0.0008581542968499889,-0.0019624953270067635,27890.466666666667,29380.93333333333,0.0,512.4,1562.1333333333334,0.0,0.0,0.0,26.347801932356152,93.11578216870056,0.0,4.679031238764432,5.586292748027688,0.0,0.0,0.0,HD
2025-05-23_10-54-32,2025-05-23_10-54-47,5,3,-66.04310267857142,-21.284598214285722,0.9955357142857153,67.49246651785714,44.994977678571416,22.49969364929199,-0.00044921875002046363,0.0008581542968499889,-0.0019624953270067635,27831.733333333337,28633.733333333337,0.0,504.9333333333333,21.866666666666667,0.0,0.0,0.0,52.61858564761619,26.10010642805074,0.0,5.855102238409004,0.5734883511361755,0.0,0.0,0.0,HA
2025-05-23_10-54-58,2025-05-23_10-55-14,5,3,-66.04310267857142,-21.284598214285722,0.9955357142857153,67.49246651785714,44.994977678571416,0.0012214355468813665,45.001992187499994,0.0008581542968499889,-0.0019624953270067635,27881.8,28866.26666666667,0.0,500.66666666666663,745.7333333333333,0.0,0.13333333333333333,0.0,36.02477542531551,63.393427629894454,0.0,4.013864859597429,7.914403185192019,0.0,0.0816496580927726,0.0,HR
2025-05-23_10-55-25,2025-05-23_10-55-40,5,3,-66.04310267857142,-21.284598214285722,0.9955357142857153,67.49246651785714,44.994977678571416,0.0012214355468813665,135.00199218749998,0.0008581542968499889,-0.0019624953270067635,27903.8,29017.93333333333,0.0,513.2,839.4666666666666,0.0,0.13333333333333333,0.0,30.685247993856244,47.15675985476525,0.0,2.3395156193822184,2.5529938851822114,0.0,0.0816496580927726,0.0,HL
2025-05-23_10-56-02,2025-05-23_10-56-18,5,3,-66.04310267857142,-21.284598214285722,0.9955357142857153,67.49246651785714,44.994977678571416,0.0012214355468813665,-0.00044921875002046363,45.00195678710938,-0.0019624953270067635,26629.333333333336,29152.4,0.0,509.4,742.6666666666666,0.0,0.3333333333333333,0.0,49.72569199563176,60.15862365446844,0.0,6.414739970481177,8.604262509554971,0.0,0.14907119849998596,0.0,VH
2025-05-23_10-56-24,2025-05-23_10-56-40,5,3,-66.04310267857142,-21.284598214285722,0.9955357142857153,67.49246651785714,44.994977678571416,45.00233151245117,-0.00044921875002046363,44.99987396240235,-0.0019624953270067635,26685.333333333332,28866.533333333333,0.0,502.2,847.1333333333334,0.0,0.2,0.0,29.196080406642217,29.015245035057664,0.0,7.013954345129111,9.402481941842094,0.0,0.0816496580927726,0.0,VV
2025-05-23_10-56-44,2025-05-23_10-56-59,5,3,-66.04310267857142,-21.284598214285722,0.9955357142857153,67.49246651785714,44.994977678571416,67.50183941650391,-0.00044921875002046363,44.99987396240235,-0.0019624953270067635,26661.666666666664,29365.666666666668,0.0,503.2666666666666,17.73333333333333,0.0,0.0,0.0,23.77767393539093,25.700410718724346,0.0,7.902460938776535,0.7102425250887506,0.0,0.0,0.0,VD
2025-05-23_10-57-07,2025-05-23_10-57-22,5,3,-66.04310267857142,-21.284598214285722,0.9955357142857153,67.49246651785714,44.994977678571416,22.49969364929199,-0.00044921875002046363,44.99987396240235,-0.0019624953270067635,26610.26666666667,28631.06666666667,0.0,505.5333333333334,1577.2666666666669,0.0,0.2,0.0,41.570609275731755,17.103086141265482,0.0,6.202687589531927,13.695660302121652,0.0,0.0816496580927726,0.0,VA
2025-05-23_10-57-33,2025-05-23_10-57-48,5,3,-66.04310267857142,-21.284598214285722,0.9955357142857153,67.49246651785714,44.994977678571416,0.0012214355468813665,45.001992187499994,44.99987396240235,-0.0019624953270067635,26634.8,28855.2,0.0,510.5333333333334,893.8666666666668,0.0,0.13333333333333333,0.0,29.156779276486844,5.941941321375462,0.0,5.735464720103812,11.603926538508906,0.0,0.0816496580927726,0.0,VR
2025-05-23_10-57-59,2025-05-23_10-58-14,5,3,-66.04310267857142,-21.284598214285722,0.9955357142857153,67.49246651785714,44.994977678571416,0.0012214355468813665,135.00199218749998,44.99987396240235,-0.0019624953270067635,26717.4,29003.333333333332,0.0,509.33333333333337,699.9333333333333,0.0,0.13333333333333333,0.0,21.06798519080557,48.78285217847213,0.0,10.08794660308364,5.318103254189632,0.0,0.0816496580927726,0.0,VL
2025-05-23_10-58-34,2025-05-23_10-58-49,5,3,-66.04310267857142,-21.284598214285722,0.9955357142857153,67.49246651785714,44.994977678571416,0.0012214355468813665,-0.00044921875002046363,67.5019873046875,-0.0019624953270067635,27028.93333333333,29066.466666666667,0.0,505.4666666666667,1429.4666666666667,0.0,0.0,0.0,26.687575136506027,23.243780530140306,0.0,6.384529913957815,3.3109246778237473,0.0,0.0,0.0,DH
2025-05-23_10-58-56,2025-05-23_10-59-11,5,3,-66.04310267857142,-21.284598214285722,0.9955357142857153,67.49246651785714,44.994977678571416,45.00233151245117,-0.00044921875002046363,67.49990447998047,-0.0019624953270067635,27047.13333333333,28776.93333333333,0.0,501.9333333333334,192.8,0.0,0.13333333333333333,0.0,39.18199699975607,68.90818367783135,0.0,4.777726097911721,2.2100779272334363,0.0,0.0816496580927726,0.0,DV
2025-05-23_10-59-16,2025-05-23_10-59-31,5,3,-66.04310267857142,-21.284598214285722,0.9955357142857153,67.49246651785714,44.994977678571416,67.50183941650391,-0.00044921875002046363,67.49990447998047,-0.0019624953270067635,27025.13333333333,29368.666666666668,0.0,511.6,716.7333333333333,0.0,0.2,0.0,69.38440426749759,34.37020673651972,0.0,9.234837422619972,3.2238693108333876,0.0,0.0816496580927726,0.0,DD
2025-05-23_10-59-39,2025-05-23_10-59-55,5,3,-66.04310267857142,-21.284598214285722,0.9955357142857153,67.49246651785714,44.994977678571416,22.49969364929199,-0.00044921875002046363,67.49990447998047,-0.0019624953270067635,27004.333333333332,28692.733333333337,0.0,508.1333333333333,928.4666666666668,0.0,0.06666666666666667,0.0,40.19162433476288,42.55994465326407,0.0,3.940671121635108,8.488292591040382,0.0,0.06666666666666667,0.0,DA
2025-05-23_11-00-05,2025-05-23_11-00-20,5,3,-66.04310267857142,-21.284598214285722,0.9955357142857153,67.49246651785714,44.994977678571416,0.0012214355468813665,45.001992187499994,67.49990447998047,-0.0019624953270067635,27024.2,28801.266666666663,0.0,513.6666666666667,401.06666666666666,0.0,0.13333333333333333,0.0,29.792541945184475,46.35783524808861,0.0,5.1022870688871835,5.431799374465561,0.0,0.0816496580927726,0.0,DR
2025-05-23_11-00-31,2025-05-23_11-00-47,5,3,-66.04310267857142,-21.284598214285722,0.9955357142857153,67.49246651785714,44.994977678571416,0.0012214355468813665,135.00199218749998,67.49990447998047,-0.0019624953270067635,26950.733333333337,28990.466666666664,0.0,501.8666666666667,1197.8666666666666,0.0,0.13333333333333333,0.0,15.24445254292015,66.0494427598663,0.0,9.657236779856966,4.714752261666446,0.0,0.0816496580927726,0.0,DL
2025-05-23_11-01-09,2025-05-23_11-01-25,5,3,-66.04310267857142,-21.284598214285722,0.9955357142857153,67.49246651785714,44.994977678571416,0.0012214355468813665,-0.00044921875002046363,22.499841537475586,-0.0019624953270067635,27320.466666666664,29175.93333333333,0.0,504.33333333333337,226.86666666666665,0.0,0.06666666666666667,0.0,34.62603387947049,34.00774421608485,0.0,2.7426669907632197,2.2818121453499756,0.0,0.06666666666666667,0.0,AH
2025-05-23_11-01-31,2025-05-23_11-01-47,5,3,-66.04310267857142,-21.284598214285722,0.9955357142857153,67.49246651785714,44.994977678571416,45.00233151245117,-0.00044921875002046363,22.499841537475586,-0.0019624953270067635,27302.2,28846.333333333332,0.0,518.4666666666666,1314.6666666666665,0.0,0.0,0.0,21.5614367692772,64.97324235577487,0.0,9.25538882069372,3.9846929339382795,0.0,0.0,0.0,AV
