start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-05-23_15-28-55,2025-05-23_15-29-30,7,5,-112.735625,-19.358537946428555,0.9955357142857153,-0.002511160714277594,-44.99246651785711,45.00233151245117,0.0029687499999937472,-29.99901977539065,-105.00176037597657,28194.942857142854,29081.82857142857,0.0,513.8285714285714,38.057142857142864,0.0,0.14285714285714285,0.0,27.677211333710787,23.245088721273234,0.0,1.9010917021185285,2.0974879695275788,0.0,0.05714285714285714,0.0,
2025-05-23_15-30-27,2025-05-23_15-30-42,5,3,-112.735625,-24.991071428571445,0.9955357142857153,-0.002511160714277594,-44.99246651785711,45.00233151245117,0.0029687499999937472,-29.99901977539065,-105.00176037597657,28009.0,29613.2,0.0,502.8666666666667,489.6,0.0,0.2,0.0,42.33241468819548,67.21818537006511,0.0,6.604375653896272,4.035123569634793,0.0,0.1333333333333333,0.0,
2025-05-23_15-30-43,2025-05-23_15-30-59,5,3,-112.735625,-23.881138392857167,0.9955357142857153,-0.002511160714277594,-44.99246651785711,45.00233151245117,0.0029687499999937472,-29.99901977539065,-105.00176037597657,27956.2,29517.666666666664,0.0,510.0,328.1333333333333,0.0,0.06666666666666667,0.0,43.27003068586332,33.37730433160261,0.0,4.554606947305601,1.9737161790783315,0.0,0.06666666666666667,0.0,
2025-05-23_15-30-59,2025-05-23_15-31-15,5,3,-112.735625,-22.783761160714278,0.9955357142857153,-0.002511160714277594,-44.99246651785711,45.00233151245117,0.0029687499999937472,-29.99901977539065,-105.00176037597657,28056.86666666667,29351.933333333338,0.0,504.1333333333333,205.26666666666665,0.0,0.2,0.0,44.15862819930479,52.07445524332331,0.0,7.057383840111484,1.9590247006553503,0.0,0.1333333333333333,0.0,
2025-05-23_15-31-16,2025-05-23_15-31-31,5,3,-112.735625,-21.661272321428555,0.9955357142857153,-0.002511160714277594,-44.99246651785711,45.00233151245117,0.0029687499999937472,-29.99901977539065,-105.00176037597657,28080.666666666668,29242.333333333336,0.0,507.1333333333333,113.53333333333335,0.0,0.3333333333333333,0.0,40.31638762477518,63.982376045630446,0.0,8.157205403813238,2.6824532718307625,0.0,0.10540925533894598,0.0,
2025-05-23_15-31-32,2025-05-23_15-31-47,5,3,-112.735625,-20.556361607142833,0.9955357142857153,-0.002511160714277594,-44.99246651785711,45.00233151245117,0.0029687499999937472,-29.99901977539065,-105.00176037597657,28227.13333333334,29132.666666666664,0.0,505.4,57.466666666666676,0.0,0.06666666666666667,0.0,42.33905473148319,66.29471237503714,0.0,5.885386799334252,1.5797327481430374,0.0,0.06666666666666667,0.0,
2025-05-23_15-31-48,2025-05-23_15-32-04,5,3,-112.735625,-19.436383928571445,0.9955357142857153,-0.002511160714277594,-44.99246651785711,45.00233151245117,0.0029687499999937472,-29.99901977539065,-105.00176037597657,28160.0,28956.13333333334,0.0,511.8,39.13333333333333,0.0,0.0,0.0,44.78863943258601,60.22786361440617,0.0,9.558939969124896,2.608958923913265,0.0,0.0,0.0,
2025-05-23_15-32-04,2025-05-23_15-32-20,5,3,-112.735625,-18.331473214285722,0.9955357142857153,-0.002511160714277594,-44.99246651785711,45.00233151245117,0.0029687499999937472,-29.99901977539065,-105.00176037597657,28476.86666666666,29192.466666666667,0.0,505.4,56.46666666666666,0.0,0.06666666666666667,0.0,74.11002331368942,46.851372563790406,0.0,5.08745734352851,1.796910929592474,0.0,0.06666666666666667,0.0,
2025-05-23_15-32-21,2025-05-23_15-32-36,5,3,-112.735625,-17.219029017857167,0.9955357142857153,-0.002511160714277594,-44.99246651785711,45.00233151245117,0.0029687499999937472,-29.99901977539065,-105.00176037597657,28707.4,29203.13333333333,0.0,512.4666666666667,88.4,0.0,0.06666666666666667,0.0,33.63206142292752,39.92974385648448,0.0,4.595408336348127,3.4903040300555794,0.0,0.06666666666666667,0.0,
2025-05-23_15-32-37,2025-05-23_15-32-52,5,3,-112.735625,-16.104073660714278,0.9955357142857153,-0.002511160714277594,-44.99246651785711,45.00233151245117,0.0029687499999937472,-29.99901977539065,-105.00176037597657,28630.4,29103.93333333333,0.0,508.7333333333333,150.4,0.0,0.0,0.0,38.067104492520066,66.31468749664596,0.0,7.154175160158025,3.0466739606039592,0.0,0.0,0.0,
2025-05-23_15-32-53,2025-05-23_15-33-09,5,3,-112.735625,-15.001674107142833,0.9955357142857153,-0.002511160714277594,-44.99246651785711,45.00233151245117,0.0029687499999937472,-29.99901977539065,-105.00176037597657,28627.4,29067.93333333333,0.0,513.2666666666667,226.6,0.0,0.2,0.0,40.14340958779334,17.617983236833307,0.0,3.575223380744518,6.074902834156647,0.0,0.0816496580927726,0.0,
