start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-26_16-35-29,2025-06-26_16-35-45,5,3,-64.1691674107143,-15.682198660714278,1.0080915178571423,0.0065669642857143495,-0.007437499999980446,0.0009140624999872671,0.0018911132812462483,0.001613769531275011,-0.0010595703125204636,24720.86666666667,27195.26666666667,0.0,706.5333333333333,1451.2666666666667,0.0,0.13333333333333333,0.0,40.46295974235065,36.166651305680354,0.0,4.700590979393508,5.490800386909817,0.0,0.0816496580927726,0.0,
2025-06-26_16-35-57,2025-06-26_16-36-12,5,3,-64.1691674107143,-15.682198660714278,1.0080915178571423,0.0065669642857143495,-0.007437499999980446,45.0020241394043,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,23270.333333333336,25681.399999999998,0.0,707.4666666666666,1407.3333333333333,0.0,0.2,0.0,24.430172601382342,23.487443453897054,0.0,7.410652992670592,5.759050847723663,0.0,0.0816496580927726,0.0,
2025-06-26_16-36-36,2025-06-26_16-36-52,5,3,-47.655774553571405,-9.705636160714278,1.0080915178571423,67.4915,44.992562500000005,0.0009140624999872671,-0.0001840820312395408,0.001094970703150011,-2.197265627046363e-05,41074.13333333334,27414.8,0.0,703.4666666666667,1395.4,0.0,0.2,0.0,37.95942277982895,49.8961811052593,0.0,5.8676135599482775,11.866573033338447,0.0,0.1333333333333333,0.0,HH
2025-06-26_16-36-59,2025-06-26_16-37-14,5,3,-47.655774553571405,-9.705636160714278,1.0080915178571423,67.4915,44.992562500000005,45.0020241394043,-0.0001840820312395408,0.001094970703150011,-2.197265627046363e-05,41021.53333333333,24959.13333333333,0.0,699.0666666666666,1325.1333333333334,0.0,0.3333333333333333,0.0,49.31414041068229,24.758298272161767,0.0,3.1400636936215167,5.163547445528315,0.0,0.10540925533894598,0.0,HV
2025-06-26_16-37-19,2025-06-26_16-37-34,5,3,-47.655774553571405,-9.705636160714278,1.0080915178571423,67.4915,44.992562500000005,67.50205084228516,-0.0001840820312395408,0.001094970703150011,-2.197265627046363e-05,40955.53333333333,46767.0,0.0,703.9333333333333,2686.6,0.0,0.06666666666666667,0.0,53.72053197386987,37.7459342917295,0.0,6.543359653538503,7.391737128563079,0.0,0.06666666666666667,0.0,HD
2025-06-26_16-37-42,2025-06-26_16-37-57,5,3,-47.655774553571405,-9.705636160714278,1.0080915178571423,67.4915,44.992562500000005,22.49938627624512,-0.0001840820312395408,0.001094970703150011,-2.197265627046363e-05,41006.26666666666,5572.2,0.0,697.9333333333334,14.466666666666665,0.0,0.2,0.0,30.607624322490217,17.919759422988353,0.0,4.715694835098839,0.3431876713662333,0.0,0.0816496580927726,0.0,HA
2025-06-26_16-38-08,2025-06-26_16-38-23,5,3,-47.655774553571405,-9.705636160714278,1.0080915178571423,67.4915,44.992562500000005,0.0009140624999872671,45.001952148437496,0.001094970703150011,-2.197265627046363e-05,41068.86666666666,25053.933333333334,0.0,695.0666666666667,1280.2666666666667,0.0,0.06666666666666667,0.0,38.45670003754514,23.054380157454837,0.0,3.26156063530601,6.83243896586149,0.0,0.06666666666666667,0.0,HR
2025-06-26_16-38-34,2025-06-26_16-38-50,5,3,-47.655774553571405,-9.705636160714278,1.0080915178571423,67.4915,44.992562500000005,0.0009140624999872671,135.00207421875,0.001094970703150011,-2.197265627046363e-05,41026.066666666666,27078.86666666667,0.0,710.3333333333334,1411.9333333333334,0.0,0.26666666666666666,0.0,33.70367602766484,18.84899054178851,0.0,2.3118054512532895,10.287208886120013,0.0,0.19436506316151003,0.0,HL
2025-06-26_16-39-12,2025-06-26_16-39-28,5,3,-47.655774553571405,-9.705636160714278,1.0080915178571423,67.4915,44.992562500000005,0.0009140624999872671,-0.0001840820312395408,45.00219741821289,-2.197265627046363e-05,5088.6,27464.4,0.0,698.6,39.46666666666667,0.0,0.0,0.0,22.471315048301022,50.40782567110857,0.0,6.797385118149811,1.5297058540778348,0.0,0.0,0.0,VH
2025-06-26_16-39-34,2025-06-26_16-39-50,5,3,-47.655774553571405,-9.705636160714278,1.0080915178571423,67.4915,44.992562500000005,45.0020241394043,-0.0001840820312395408,45.000114593505856,-2.197265627046363e-05,5102.266666666666,24857.866666666665,0.0,693.2,32.93333333333333,0.0,0.0,0.0,14.267834843139756,50.42415646845848,0.0,8.681141757984511,0.8459051693633013,0.0,0.0,0.0,VV
